Comunidades y Ciudades Autónomas	Naturaleza de la finca	Número e importe	Periodo	Total
Total Nacional	Total fincas rústicas	Importe de hipotecas	2009	13.467.498
Total Nacional	Total fincas rústicas	Importe de hipotecas	2008	13.578.815
Total Nacional	Total fincas rústicas	Importe de hipotecas	2007	16.326.638
Total Nacional	Total fincas rústicas	Importe de hipotecas	2006	16.701.038
Total Nacional	Total fincas rústicas	Importe de hipotecas	2005	13.299.383
Total Nacional	Total fincas rústicas	Importe de hipotecas	2004	9.538.421
Total Nacional	Total fincas rústicas	Importe de hipotecas	2003	6.297.187
Total Nacional	Viviendas	Número de hipotecas	2025	501.073
Total Nacional	Viviendas	Número de hipotecas	2024	425.522
Total Nacional	Viviendas	Número de hipotecas	2023	380.966
Total Nacional	Viviendas	Número de hipotecas	2022	464.107
Total Nacional	Viviendas	Número de hipotecas	2021	418.058
Total Nacional	Viviendas	Número de hipotecas	2020	337.752
Total Nacional	Viviendas	Número de hipotecas	2019	361.291
Total Nacional	Viviendas	Número de hipotecas	2018	348.326
Total Nacional	Viviendas	Número de hipotecas	2017	312.843
Total Nacional	Viviendas	Número de hipotecas	2016	282.707
Total Nacional	Viviendas	Número de hipotecas	2015	246.767
Total Nacional	Viviendas	Número de hipotecas	2014	204.302
Total Nacional	Viviendas	Número de hipotecas	2013	199.703
Total Nacional	Viviendas	Número de hipotecas	2012	273.873
Total Nacional	Viviendas	Número de hipotecas	2011	408.461
Total Nacional	Viviendas	Número de hipotecas	2010	607.535
Total Nacional	Viviendas	Número de hipotecas	2009	650.889
Total Nacional	Viviendas	Número de hipotecas	2008	836.419
Total Nacional	Viviendas	Número de hipotecas	2007	1.238.890
Total Nacional	Viviendas	Número de hipotecas	2006	1.342.171
Total Nacional	Viviendas	Número de hipotecas	2005	1.257.613
Total Nacional	Viviendas	Número de hipotecas	2004	1.107.664
Total Nacional	Viviendas	Número de hipotecas	2003	989.439
Total Nacional	Viviendas	Importe de hipotecas	2025	82.044.694
Total Nacional	Viviendas	Importe de hipotecas	2024	61.854.101
Total Nacional	Viviendas	Importe de hipotecas	2023	54.031.260
Total Nacional	Viviendas	Importe de hipotecas	2022	67.255.564
Total Nacional	Viviendas	Importe de hipotecas	2021	57.492.599
Total Nacional	Viviendas	Importe de hipotecas	2020	45.508.122
Total Nacional	Viviendas	Importe de hipotecas	2019	45.383.450
Total Nacional	Viviendas	Importe de hipotecas	2018	43.284.882
Total Nacional	Viviendas	Importe de hipotecas	2017	36.664.867
Total Nacional	Viviendas	Importe de hipotecas	2016	31.036.970
Total Nacional	Viviendas	Importe de hipotecas	2015	26.338.940
Total Nacional	Viviendas	Importe de hipotecas	2014	20.890.540
Total Nacional	Viviendas	Importe de hipotecas	2013	19.972.573
Total Nacional	Viviendas	Importe de hipotecas	2012	28.328.881
Total Nacional	Viviendas	Importe de hipotecas	2011	45.715.938
Total Nacional	Viviendas	Importe de hipotecas	2010	71.041.231
Total Nacional	Viviendas	Importe de hipotecas	2009	76.677.082
Total Nacional	Viviendas	Importe de hipotecas	2008	116.809.939
Total Nacional	Viviendas	Importe de hipotecas	2007	184.427.159
Total Nacional	Viviendas	Importe de hipotecas	2006	188.339.112
Total Nacional	Viviendas	Importe de hipotecas	2005	156.946.440
Total Nacional	Viviendas	Importe de hipotecas	2004	122.147.451
Total Nacional	Viviendas	Importe de hipotecas	2003	96.175.561
Total Nacional	Solares	Número de hipotecas	2025	4.998
Total Nacional	Solares	Número de hipotecas	2024	4.027
Total Nacional	Solares	Número de hipotecas	2023	5.521
Total Nacional	Solares	Número de hipotecas	2022	6.854
Total Nacional	Solares	Número de hipotecas	2021	7.656
Total Nacional	Solares	Número de hipotecas	2020	5.977
Total Nacional	Solares	Número de hipotecas	2019	6.482
Total Nacional	Solares	Número de hipotecas	2018	7.248
Total Nacional	Solares	Número de hipotecas	2017	6.430
Total Nacional	Solares	Número de hipotecas	2016	6.728
Total Nacional	Solares	Número de hipotecas	2015	8.018
Total Nacional	Solares	Número de hipotecas	2014	8.314
Total Nacional	Solares	Número de hipotecas	2013	10.727
Total Nacional	Solares	Número de hipotecas	2012	19.124
Total Nacional	Solares	Número de hipotecas	2011	25.358
Total Nacional	Solares	Número de hipotecas	2010	36.443
Total Nacional	Solares	Número de hipotecas	2009	53.268
Total Nacional	Solares	Número de hipotecas	2008	51.148
Total Nacional	Solares	Número de hipotecas	2007	61.649
Total Nacional	Solares	Número de hipotecas	2006	55.036
Total Nacional	Solares	Número de hipotecas	2005	46.220
Total Nacional	Solares	Número de hipotecas	2004	39.936
Total Nacional	Solares	Número de hipotecas	2003	41.456
Total Nacional	Solares	Importe de hipotecas	2025	4.933.978
Total Nacional	Solares	Importe de hipotecas	2024	3.948.855
Total Nacional	Solares	Importe de hipotecas	2023	3.927.602
Total Nacional	Solares	Importe de hipotecas	2022	4.837.001
Total Nacional	Solares	Importe de hipotecas	2021	4.522.072
Total Nacional	Solares	Importe de hipotecas	2020	3.595.349
Total Nacional	Solares	Importe de hipotecas	2019	4.378.821
Total Nacional	Solares	Importe de hipotecas	2018	4.660.968
Total Nacional	Solares	Importe de hipotecas	2017	4.028.015
Total Nacional	Solares	Importe de hipotecas	2016	3.932.697
Total Nacional	Solares	Importe de hipotecas	2015	3.184.602
Total Nacional	Solares	Importe de hipotecas	2014	3.106.068
Total Nacional	Solares	Importe de hipotecas	2013	3.818.038
Total Nacional	Solares	Importe de hipotecas	2012	5.455.657
Total Nacional	Solares	Importe de hipotecas	2011	8.994.302
Total Nacional	Solares	Importe de hipotecas	2010	13.612.483
Total Nacional	Solares	Importe de hipotecas	2009	20.971.066
Total Nacional	Solares	Importe de hipotecas	2008	27.526.034
Total Nacional	Solares	Importe de hipotecas	2007	37.202.105
Total Nacional	Solares	Importe de hipotecas	2006	31.626.836
Total Nacional	Solares	Importe de hipotecas	2005	22.924.510
Total Nacional	Solares	Importe de hipotecas	2004	17.974.619
Total Nacional	Solares	Importe de hipotecas	2003	14.249.371
Total Nacional	Otros	Número de hipotecas	2025	127.433
Total Nacional	Otros	Número de hipotecas	2024	108.348
Total Nacional	Otros	Número de hipotecas	2023	100.593
Total Nacional	Otros	Número de hipotecas	2022	126.022
Total Nacional	Otros	Número de hipotecas	2021	119.206
Total Nacional	Otros	Número de hipotecas	2020	110.837
Total Nacional	Otros	Número de hipotecas	2019	114.974
Total Nacional	Otros	Número de hipotecas	2018	109.934
Total Nacional	Otros	Número de hipotecas	2017	97.015
Total Nacional	Otros	Número de hipotecas	2016	94.693
Total Nacional	Otros	Número de hipotecas	2015	98.517
Total Nacional	Otros	Número de hipotecas	2014	85.183
Total Nacional	Otros	Número de hipotecas	2013	97.903
Total Nacional	Otros	Número de hipotecas	2012	137.379
Total Nacional	Otros	Número de hipotecas	2011	186.147
Total Nacional	Otros	Número de hipotecas	2010	272.083
Total Nacional	Otros	Número de hipotecas	2009	319.766
Total Nacional	Otros	Número de hipotecas	2008	350.898
Total Nacional	Otros	Número de hipotecas	2007	431.043
Total Nacional	Otros	Número de hipotecas	2006	445.718
Total Nacional	Otros	Número de hipotecas	2005	442.734
Total Nacional	Otros	Número de hipotecas	2004	413.126
Total Nacional	Otros	Número de hipotecas	2003	285.230
