Comunidades y Ciudades Autónomas	Naturaleza de la finca	Número e importe	Periodo	Total
05 Canarias	Total fincas rústicas	Importe de hipotecas	2014	74.731
05 Canarias	Total fincas rústicas	Importe de hipotecas	2013	77.178
05 Canarias	Total fincas rústicas	Importe de hipotecas	2012	102.462
05 Canarias	Total fincas rústicas	Importe de hipotecas	2011	153.768
05 Canarias	Total fincas rústicas	Importe de hipotecas	2010	225.781
05 Canarias	Total fincas rústicas	Importe de hipotecas	2009	363.110
05 Canarias	Total fincas rústicas	Importe de hipotecas	2008	443.500
05 Canarias	Total fincas rústicas	Importe de hipotecas	2007	626.133
05 Canarias	Total fincas rústicas	Importe de hipotecas	2006	681.927
05 Canarias	Total fincas rústicas	Importe de hipotecas	2005	496.184
05 Canarias	Total fincas rústicas	Importe de hipotecas	2004	346.533
05 Canarias	Total fincas rústicas	Importe de hipotecas	2003	197.933
05 Canarias	Viviendas	Número de hipotecas	2025	17.283
05 Canarias	Viviendas	Número de hipotecas	2024	14.792
05 Canarias	Viviendas	Número de hipotecas	2023	14.216
05 Canarias	Viviendas	Número de hipotecas	2022	15.987
05 Canarias	Viviendas	Número de hipotecas	2021	12.584
05 Canarias	Viviendas	Número de hipotecas	2020	12.097
05 Canarias	Viviendas	Número de hipotecas	2019	13.972
05 Canarias	Viviendas	Número de hipotecas	2018	13.986
05 Canarias	Viviendas	Número de hipotecas	2017	13.418
05 Canarias	Viviendas	Número de hipotecas	2016	12.994
05 Canarias	Viviendas	Número de hipotecas	2015	10.910
05 Canarias	Viviendas	Número de hipotecas	2014	9.213
05 Canarias	Viviendas	Número de hipotecas	2013	8.838
05 Canarias	Viviendas	Número de hipotecas	2012	11.309
05 Canarias	Viviendas	Número de hipotecas	2011	15.898
05 Canarias	Viviendas	Número de hipotecas	2010	26.236
05 Canarias	Viviendas	Número de hipotecas	2009	32.820
05 Canarias	Viviendas	Número de hipotecas	2008	41.547
05 Canarias	Viviendas	Número de hipotecas	2007	60.921
05 Canarias	Viviendas	Número de hipotecas	2006	66.987
05 Canarias	Viviendas	Número de hipotecas	2005	62.214
05 Canarias	Viviendas	Número de hipotecas	2004	51.205
05 Canarias	Viviendas	Número de hipotecas	2003	38.669
05 Canarias	Viviendas	Importe de hipotecas	2025	2.400.366
05 Canarias	Viviendas	Importe de hipotecas	2024	1.731.221
05 Canarias	Viviendas	Importe de hipotecas	2023	1.576.632
05 Canarias	Viviendas	Importe de hipotecas	2022	1.834.363
05 Canarias	Viviendas	Importe de hipotecas	2021	1.411.646
05 Canarias	Viviendas	Importe de hipotecas	2020	1.244.594
05 Canarias	Viviendas	Importe de hipotecas	2019	1.340.122
05 Canarias	Viviendas	Importe de hipotecas	2018	1.292.065
05 Canarias	Viviendas	Importe de hipotecas	2017	1.164.005
05 Canarias	Viviendas	Importe de hipotecas	2016	1.045.163
05 Canarias	Viviendas	Importe de hipotecas	2015	928.459
05 Canarias	Viviendas	Importe de hipotecas	2014	684.366
05 Canarias	Viviendas	Importe de hipotecas	2013	678.986
05 Canarias	Viviendas	Importe de hipotecas	2012	927.899
05 Canarias	Viviendas	Importe de hipotecas	2011	1.521.513
05 Canarias	Viviendas	Importe de hipotecas	2010	2.586.040
05 Canarias	Viviendas	Importe de hipotecas	2009	3.135.641
05 Canarias	Viviendas	Importe de hipotecas	2008	4.961.120
05 Canarias	Viviendas	Importe de hipotecas	2007	7.694.106
05 Canarias	Viviendas	Importe de hipotecas	2006	7.878.720
05 Canarias	Viviendas	Importe de hipotecas	2005	6.755.122
05 Canarias	Viviendas	Importe de hipotecas	2004	4.916.009
05 Canarias	Viviendas	Importe de hipotecas	2003	3.368.735
05 Canarias	Solares	Número de hipotecas	2025	100
05 Canarias	Solares	Número de hipotecas	2024	83
05 Canarias	Solares	Número de hipotecas	2023	153
05 Canarias	Solares	Número de hipotecas	2022	124
05 Canarias	Solares	Número de hipotecas	2021	149
05 Canarias	Solares	Número de hipotecas	2020	168
05 Canarias	Solares	Número de hipotecas	2019	182
05 Canarias	Solares	Número de hipotecas	2018	218
05 Canarias	Solares	Número de hipotecas	2017	217
05 Canarias	Solares	Número de hipotecas	2016	232
05 Canarias	Solares	Número de hipotecas	2015	666
05 Canarias	Solares	Número de hipotecas	2014	567
05 Canarias	Solares	Número de hipotecas	2013	519
05 Canarias	Solares	Número de hipotecas	2012	638
05 Canarias	Solares	Número de hipotecas	2011	662
05 Canarias	Solares	Número de hipotecas	2010	1.320
05 Canarias	Solares	Número de hipotecas	2009	1.726
05 Canarias	Solares	Número de hipotecas	2008	1.562
05 Canarias	Solares	Número de hipotecas	2007	1.910
05 Canarias	Solares	Número de hipotecas	2006	2.678
05 Canarias	Solares	Número de hipotecas	2005	2.072
05 Canarias	Solares	Número de hipotecas	2004	1.571
05 Canarias	Solares	Número de hipotecas	2003	1.356
05 Canarias	Solares	Importe de hipotecas	2025	63.579
05 Canarias	Solares	Importe de hipotecas	2024	53.878
05 Canarias	Solares	Importe de hipotecas	2023	149.765
05 Canarias	Solares	Importe de hipotecas	2022	107.747
05 Canarias	Solares	Importe de hipotecas	2021	36.029
05 Canarias	Solares	Importe de hipotecas	2020	202.350
05 Canarias	Solares	Importe de hipotecas	2019	151.734
05 Canarias	Solares	Importe de hipotecas	2018	58.935
05 Canarias	Solares	Importe de hipotecas	2017	120.581
05 Canarias	Solares	Importe de hipotecas	2016	68.602
05 Canarias	Solares	Importe de hipotecas	2015	81.160
05 Canarias	Solares	Importe de hipotecas	2014	172.403
05 Canarias	Solares	Importe de hipotecas	2013	101.131
05 Canarias	Solares	Importe de hipotecas	2012	268.555
05 Canarias	Solares	Importe de hipotecas	2011	190.924
05 Canarias	Solares	Importe de hipotecas	2010	489.880
05 Canarias	Solares	Importe de hipotecas	2009	667.649
05 Canarias	Solares	Importe de hipotecas	2008	690.677
05 Canarias	Solares	Importe de hipotecas	2007	1.242.313
05 Canarias	Solares	Importe de hipotecas	2006	1.474.698
05 Canarias	Solares	Importe de hipotecas	2005	1.104.975
05 Canarias	Solares	Importe de hipotecas	2004	754.387
05 Canarias	Solares	Importe de hipotecas	2003	667.476
05 Canarias	Otros	Número de hipotecas	2025	4.892
05 Canarias	Otros	Número de hipotecas	2024	5.107
05 Canarias	Otros	Número de hipotecas	2023	4.264
05 Canarias	Otros	Número de hipotecas	2022	4.768
05 Canarias	Otros	Número de hipotecas	2021	4.349
05 Canarias	Otros	Número de hipotecas	2020	5.132
05 Canarias	Otros	Número de hipotecas	2019	5.649
05 Canarias	Otros	Número de hipotecas	2018	5.012
05 Canarias	Otros	Número de hipotecas	2017	5.292
05 Canarias	Otros	Número de hipotecas	2016	6.233
05 Canarias	Otros	Número de hipotecas	2015	6.594
05 Canarias	Otros	Número de hipotecas	2014	4.227
05 Canarias	Otros	Número de hipotecas	2013	6.758
05 Canarias	Otros	Número de hipotecas	2012	6.591
05 Canarias	Otros	Número de hipotecas	2011	9.672
05 Canarias	Otros	Número de hipotecas	2010	15.391
05 Canarias	Otros	Número de hipotecas	2009	18.261
05 Canarias	Otros	Número de hipotecas	2008	23.877
05 Canarias	Otros	Número de hipotecas	2007	24.285
05 Canarias	Otros	Número de hipotecas	2006	27.454
05 Canarias	Otros	Número de hipotecas	2005	27.453
05 Canarias	Otros	Número de hipotecas	2004	30.979
05 Canarias	Otros	Número de hipotecas	2003	23.760
05 Canarias	Otros	Importe de hipotecas	2025	1.647.232
05 Canarias	Otros	Importe de hipotecas	2024	1.045.894
05 Canarias	Otros	Importe de hipotecas	2023	1.417.687
05 Canarias	Otros	Importe de hipotecas	2022	1.017.166
05 Canarias	Otros	Importe de hipotecas	2021	883.875
05 Canarias	Otros	Importe de hipotecas	2020	1.408.948
05 Canarias	Otros	Importe de hipotecas	2019	1.353.817
05 Canarias	Otros	Importe de hipotecas	2018	712.616
05 Canarias	Otros	Importe de hipotecas	2017	887.829
05 Canarias	Otros	Importe de hipotecas	2016	797.136
05 Canarias	Otros	Importe de hipotecas	2015	1.097.340
05 Canarias	Otros	Importe de hipotecas	2014	867.588
05 Canarias	Otros	Importe de hipotecas	2013	679.924
05 Canarias	Otros	Importe de hipotecas	2012	621.664
05 Canarias	Otros	Importe de hipotecas	2011	879.426
05 Canarias	Otros	Importe de hipotecas	2010	1.489.623
05 Canarias	Otros	Importe de hipotecas	2009	2.467.945
05 Canarias	Otros	Importe de hipotecas	2008	2.612.506
05 Canarias	Otros	Importe de hipotecas	2007	3.525.752
05 Canarias	Otros	Importe de hipotecas	2006	3.615.207
05 Canarias	Otros	Importe de hipotecas	2005	3.327.444
05 Canarias	Otros	Importe de hipotecas	2004	3.512.442
05 Canarias	Otros	Importe de hipotecas	2003	2.623.355
06 Cantabria	Total fincas	Número de hipotecas	2025	9.410
06 Cantabria	Total fincas	Número de hipotecas	2024	6.665
06 Cantabria	Total fincas	Número de hipotecas	2023	6.122
06 Cantabria	Total fincas	Número de hipotecas	2022	7.607
06 Cantabria	Total fincas	Número de hipotecas	2021	7.584
06 Cantabria	Total fincas	Número de hipotecas	2020	5.572
06 Cantabria	Total fincas	Número de hipotecas	2019	5.623
06 Cantabria	Total fincas	Número de hipotecas	2018	5.542
06 Cantabria	Total fincas	Número de hipotecas	2017	5.113
06 Cantabria	Total fincas	Número de hipotecas	2016	4.497
06 Cantabria	Total fincas	Número de hipotecas	2015	4.410
06 Cantabria	Total fincas	Número de hipotecas	2014	3.234
06 Cantabria	Total fincas	Número de hipotecas	2013	3.760
06 Cantabria	Total fincas	Número de hipotecas	2012	5.667
06 Cantabria	Total fincas	Número de hipotecas	2011	8.952
06 Cantabria	Total fincas	Número de hipotecas	2010	14.733
06 Cantabria	Total fincas	Número de hipotecas	2009	18.141
06 Cantabria	Total fincas	Número de hipotecas	2008	20.173
06 Cantabria	Total fincas	Número de hipotecas	2007	23.618
06 Cantabria	Total fincas	Número de hipotecas	2006	24.914
06 Cantabria	Total fincas	Número de hipotecas	2005	21.281
06 Cantabria	Total fincas	Número de hipotecas	2004	19.856
06 Cantabria	Total fincas	Número de hipotecas	2003	21.991
06 Cantabria	Total fincas	Importe de hipotecas	2025	1.257.098
06 Cantabria	Total fincas	Importe de hipotecas	2024	814.912
06 Cantabria	Total fincas	Importe de hipotecas	2023	721.021
06 Cantabria	Total fincas	Importe de hipotecas	2022	963.298
06 Cantabria	Total fincas	Importe de hipotecas	2021	806.590
06 Cantabria	Total fincas	Importe de hipotecas	2020	602.657
06 Cantabria	Total fincas	Importe de hipotecas	2019	633.397
06 Cantabria	Total fincas	Importe de hipotecas	2018	605.286
06 Cantabria	Total fincas	Importe de hipotecas	2017	513.209
06 Cantabria	Total fincas	Importe de hipotecas	2016	493.964
06 Cantabria	Total fincas	Importe de hipotecas	2015	518.102
06 Cantabria	Total fincas	Importe de hipotecas	2014	354.705
06 Cantabria	Total fincas	Importe de hipotecas	2013	503.432
06 Cantabria	Total fincas	Importe de hipotecas	2012	583.141
06 Cantabria	Total fincas	Importe de hipotecas	2011	963.831
06 Cantabria	Total fincas	Importe de hipotecas	2010	1.656.000
06 Cantabria	Total fincas	Importe de hipotecas	2009	2.192.658
06 Cantabria	Total fincas	Importe de hipotecas	2008	2.798.464
06 Cantabria	Total fincas	Importe de hipotecas	2007	4.258.686
06 Cantabria	Total fincas	Importe de hipotecas	2006	3.912.735
06 Cantabria	Total fincas	Importe de hipotecas	2005	3.094.432
06 Cantabria	Total fincas	Importe de hipotecas	2004	2.413.618
06 Cantabria	Total fincas	Importe de hipotecas	2003	2.037.286
06 Cantabria	Total fincas rústicas	Número de hipotecas	2025	134
06 Cantabria	Total fincas rústicas	Número de hipotecas	2024	140
06 Cantabria	Total fincas rústicas	Número de hipotecas	2023	130
06 Cantabria	Total fincas rústicas	Número de hipotecas	2022	167
06 Cantabria	Total fincas rústicas	Número de hipotecas	2021	136
06 Cantabria	Total fincas rústicas	Número de hipotecas	2020	118
06 Cantabria	Total fincas rústicas	Número de hipotecas	2019	132
06 Cantabria	Total fincas rústicas	Número de hipotecas	2018	107
06 Cantabria	Total fincas rústicas	Número de hipotecas	2017	103
06 Cantabria	Total fincas rústicas	Número de hipotecas	2016	92
06 Cantabria	Total fincas rústicas	Número de hipotecas	2015	107
06 Cantabria	Total fincas rústicas	Número de hipotecas	2014	92
06 Cantabria	Total fincas rústicas	Número de hipotecas	2013	140
06 Cantabria	Total fincas rústicas	Número de hipotecas	2012	180
06 Cantabria	Total fincas rústicas	Número de hipotecas	2011	282
06 Cantabria	Total fincas rústicas	Número de hipotecas	2010	550
06 Cantabria	Total fincas rústicas	Número de hipotecas	2009	494
06 Cantabria	Total fincas rústicas	Número de hipotecas	2008	455
06 Cantabria	Total fincas rústicas	Número de hipotecas	2007	664
06 Cantabria	Total fincas rústicas	Número de hipotecas	2006	741
06 Cantabria	Total fincas rústicas	Número de hipotecas	2005	630
06 Cantabria	Total fincas rústicas	Número de hipotecas	2004	685
06 Cantabria	Total fincas rústicas	Número de hipotecas	2003	613
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2025	30.266
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2024	20.686
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2023	22.006
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2022	39.934
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2021	18.298
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2020	17.158
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2019	17.789
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2018	12.953
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2017	16.504
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2016	10.178
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2015	13.188
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2014	11.907
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2013	15.342
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2012	26.094
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2011	43.451
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2010	85.373
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2009	81.085
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2008	102.710
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2007	248.423
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2006	267.493
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2005	176.920
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2004	147.294
06 Cantabria	Total fincas rústicas	Importe de hipotecas	2003	94.545
06 Cantabria	Viviendas	Número de hipotecas	2025	6.916
06 Cantabria	Viviendas	Número de hipotecas	2024	4.843
06 Cantabria	Viviendas	Número de hipotecas	2023	4.362
06 Cantabria	Viviendas	Número de hipotecas	2022	5.590
06 Cantabria	Viviendas	Número de hipotecas	2021	5.537
06 Cantabria	Viviendas	Número de hipotecas	2020	3.867
06 Cantabria	Viviendas	Número de hipotecas	2019	4.039
06 Cantabria	Viviendas	Número de hipotecas	2018	3.908
06 Cantabria	Viviendas	Número de hipotecas	2017	3.532
06 Cantabria	Viviendas	Número de hipotecas	2016	3.160
06 Cantabria	Viviendas	Número de hipotecas	2015	2.851
06 Cantabria	Viviendas	Número de hipotecas	2014	2.247
06 Cantabria	Viviendas	Número de hipotecas	2013	2.479
06 Cantabria	Viviendas	Número de hipotecas	2012	3.457
06 Cantabria	Viviendas	Número de hipotecas	2011	5.577
06 Cantabria	Viviendas	Número de hipotecas	2010	9.477
06 Cantabria	Viviendas	Número de hipotecas	2009	12.021
06 Cantabria	Viviendas	Número de hipotecas	2008	13.893
06 Cantabria	Viviendas	Número de hipotecas	2007	16.685
06 Cantabria	Viviendas	Número de hipotecas	2006	15.876
06 Cantabria	Viviendas	Número de hipotecas	2005	13.519
06 Cantabria	Viviendas	Número de hipotecas	2004	12.399
06 Cantabria	Viviendas	Número de hipotecas	2003	12.384
06 Cantabria	Viviendas	Importe de hipotecas	2025	966.748
06 Cantabria	Viviendas	Importe de hipotecas	2024	588.025
06 Cantabria	Viviendas	Importe de hipotecas	2023	504.438
06 Cantabria	Viviendas	Importe de hipotecas	2022	651.117
06 Cantabria	Viviendas	Importe de hipotecas	2021	599.306
06 Cantabria	Viviendas	Importe de hipotecas	2020	409.036
06 Cantabria	Viviendas	Importe de hipotecas	2019	412.170
06 Cantabria	Viviendas	Importe de hipotecas	2018	410.037
06 Cantabria	Viviendas	Importe de hipotecas	2017	371.578
06 Cantabria	Viviendas	Importe de hipotecas	2016	338.465
06 Cantabria	Viviendas	Importe de hipotecas	2015	294.646
06 Cantabria	Viviendas	Importe de hipotecas	2014	214.835
06 Cantabria	Viviendas	Importe de hipotecas	2013	238.552
06 Cantabria	Viviendas	Importe de hipotecas	2012	355.831
06 Cantabria	Viviendas	Importe de hipotecas	2011	612.690
06 Cantabria	Viviendas	Importe de hipotecas	2010	1.157.435
06 Cantabria	Viviendas	Importe de hipotecas	2009	1.381.667
06 Cantabria	Viviendas	Importe de hipotecas	2008	1.752.589
06 Cantabria	Viviendas	Importe de hipotecas	2007	2.168.779
06 Cantabria	Viviendas	Importe de hipotecas	2006	1.945.924
06 Cantabria	Viviendas	Importe de hipotecas	2005	1.511.614
06 Cantabria	Viviendas	Importe de hipotecas	2004	1.227.931
06 Cantabria	Viviendas	Importe de hipotecas	2003	1.079.701
06 Cantabria	Solares	Número de hipotecas	2025	47
06 Cantabria	Solares	Número de hipotecas	2024	74
06 Cantabria	Solares	Número de hipotecas	2023	46
06 Cantabria	Solares	Número de hipotecas	2022	59
06 Cantabria	Solares	Número de hipotecas	2021	56
06 Cantabria	Solares	Número de hipotecas	2020	53
06 Cantabria	Solares	Número de hipotecas	2019	52
06 Cantabria	Solares	Número de hipotecas	2018	58
06 Cantabria	Solares	Número de hipotecas	2017	39
06 Cantabria	Solares	Número de hipotecas	2016	46
06 Cantabria	Solares	Número de hipotecas	2015	31
06 Cantabria	Solares	Número de hipotecas	2014	67
06 Cantabria	Solares	Número de hipotecas	2013	77
06 Cantabria	Solares	Número de hipotecas	2012	121
06 Cantabria	Solares	Número de hipotecas	2011	242
06 Cantabria	Solares	Número de hipotecas	2010	431
06 Cantabria	Solares	Número de hipotecas	2009	418
06 Cantabria	Solares	Número de hipotecas	2008	564
06 Cantabria	Solares	Número de hipotecas	2007	833
06 Cantabria	Solares	Número de hipotecas	2006	757
06 Cantabria	Solares	Número de hipotecas	2005	706
06 Cantabria	Solares	Número de hipotecas	2004	549
06 Cantabria	Solares	Número de hipotecas	2003	426
06 Cantabria	Solares	Importe de hipotecas	2025	56.048
06 Cantabria	Solares	Importe de hipotecas	2024	54.245
06 Cantabria	Solares	Importe de hipotecas	2023	27.754
06 Cantabria	Solares	Importe de hipotecas	2022	27.890
06 Cantabria	Solares	Importe de hipotecas	2021	22.813
06 Cantabria	Solares	Importe de hipotecas	2020	39.818
06 Cantabria	Solares	Importe de hipotecas	2019	33.619
06 Cantabria	Solares	Importe de hipotecas	2018	39.535
06 Cantabria	Solares	Importe de hipotecas	2017	15.179
06 Cantabria	Solares	Importe de hipotecas	2016	23.143
06 Cantabria	Solares	Importe de hipotecas	2015	31.376
06 Cantabria	Solares	Importe de hipotecas	2014	21.925
06 Cantabria	Solares	Importe de hipotecas	2013	38.478
06 Cantabria	Solares	Importe de hipotecas	2012	68.295
06 Cantabria	Solares	Importe de hipotecas	2011	83.323
06 Cantabria	Solares	Importe de hipotecas	2010	158.411
06 Cantabria	Solares	Importe de hipotecas	2009	299.099
06 Cantabria	Solares	Importe de hipotecas	2008	502.190
06 Cantabria	Solares	Importe de hipotecas	2007	1.086.782
06 Cantabria	Solares	Importe de hipotecas	2006	944.846
06 Cantabria	Solares	Importe de hipotecas	2005	707.908
06 Cantabria	Solares	Importe de hipotecas	2004	396.271
06 Cantabria	Solares	Importe de hipotecas	2003	209.323
06 Cantabria	Otros	Número de hipotecas	2025	2.313
06 Cantabria	Otros	Número de hipotecas	2024	1.608
06 Cantabria	Otros	Número de hipotecas	2023	1.584
06 Cantabria	Otros	Número de hipotecas	2022	1.791
06 Cantabria	Otros	Número de hipotecas	2021	1.855
06 Cantabria	Otros	Número de hipotecas	2020	1.534
06 Cantabria	Otros	Número de hipotecas	2019	1.400
06 Cantabria	Otros	Número de hipotecas	2018	1.469
06 Cantabria	Otros	Número de hipotecas	2017	1.439
06 Cantabria	Otros	Número de hipotecas	2016	1.199
06 Cantabria	Otros	Número de hipotecas	2015	1.421
06 Cantabria	Otros	Número de hipotecas	2014	828
06 Cantabria	Otros	Número de hipotecas	2013	1.064
06 Cantabria	Otros	Número de hipotecas	2012	1.909
06 Cantabria	Otros	Número de hipotecas	2011	2.851
06 Cantabria	Otros	Número de hipotecas	2010	4.275
06 Cantabria	Otros	Número de hipotecas	2009	5.208
06 Cantabria	Otros	Número de hipotecas	2008	5.261
06 Cantabria	Otros	Número de hipotecas	2007	5.436
06 Cantabria	Otros	Número de hipotecas	2006	7.540
06 Cantabria	Otros	Número de hipotecas	2005	6.426
06 Cantabria	Otros	Número de hipotecas	2004	6.223
06 Cantabria	Otros	Número de hipotecas	2003	8.568
06 Cantabria	Otros	Importe de hipotecas	2025	204.036
06 Cantabria	Otros	Importe de hipotecas	2024	151.956
06 Cantabria	Otros	Importe de hipotecas	2023	166.823
06 Cantabria	Otros	Importe de hipotecas	2022	244.357
06 Cantabria	Otros	Importe de hipotecas	2021	166.173
06 Cantabria	Otros	Importe de hipotecas	2020	136.645
06 Cantabria	Otros	Importe de hipotecas	2019	169.819
06 Cantabria	Otros	Importe de hipotecas	2018	142.761
06 Cantabria	Otros	Importe de hipotecas	2017	109.948
06 Cantabria	Otros	Importe de hipotecas	2016	122.178
06 Cantabria	Otros	Importe de hipotecas	2015	178.892
06 Cantabria	Otros	Importe de hipotecas	2014	106.038
06 Cantabria	Otros	Importe de hipotecas	2013	211.060
06 Cantabria	Otros	Importe de hipotecas	2012	132.921
06 Cantabria	Otros	Importe de hipotecas	2011	224.368
06 Cantabria	Otros	Importe de hipotecas	2010	254.781
06 Cantabria	Otros	Importe de hipotecas	2009	430.807
06 Cantabria	Otros	Importe de hipotecas	2008	440.975
06 Cantabria	Otros	Importe de hipotecas	2007	754.702
06 Cantabria	Otros	Importe de hipotecas	2006	754.472
06 Cantabria	Otros	Importe de hipotecas	2005	697.990
06 Cantabria	Otros	Importe de hipotecas	2004	642.122
06 Cantabria	Otros	Importe de hipotecas	2003	653.717
07 Castilla y León	Total fincas	Número de hipotecas	2025	30.803
07 Castilla y León	Total fincas	Número de hipotecas	2024	23.885
07 Castilla y León	Total fincas	Número de hipotecas	2023	21.808
07 Castilla y León	Total fincas	Número de hipotecas	2022	25.796
07 Castilla y León	Total fincas	Número de hipotecas	2021	24.306
07 Castilla y León	Total fincas	Número de hipotecas	2020	20.759
07 Castilla y León	Total fincas	Número de hipotecas	2019	20.312
07 Castilla y León	Total fincas	Número de hipotecas	2018	19.460
07 Castilla y León	Total fincas	Número de hipotecas	2017	18.617
07 Castilla y León	Total fincas	Número de hipotecas	2016	17.680
07 Castilla y León	Total fincas	Número de hipotecas	2015	17.286
07 Castilla y León	Total fincas	Número de hipotecas	2014	16.371
07 Castilla y León	Total fincas	Número de hipotecas	2013	17.538
07 Castilla y León	Total fincas	Número de hipotecas	2012	28.287
07 Castilla y León	Total fincas	Número de hipotecas	2011	40.129
07 Castilla y León	Total fincas	Número de hipotecas	2010	59.670
07 Castilla y León	Total fincas	Número de hipotecas	2009	66.550
07 Castilla y León	Total fincas	Número de hipotecas	2008	74.777
07 Castilla y León	Total fincas	Número de hipotecas	2007	84.460
07 Castilla y León	Total fincas	Número de hipotecas	2006	84.155
07 Castilla y León	Total fincas	Número de hipotecas	2005	73.188
07 Castilla y León	Total fincas	Número de hipotecas	2004	69.976
07 Castilla y León	Total fincas	Número de hipotecas	2003	67.078
07 Castilla y León	Total fincas	Importe de hipotecas	2025	3.668.515
07 Castilla y León	Total fincas	Importe de hipotecas	2024	2.791.033
07 Castilla y León	Total fincas	Importe de hipotecas	2023	2.511.920
07 Castilla y León	Total fincas	Importe de hipotecas	2022	2.944.431
07 Castilla y León	Total fincas	Importe de hipotecas	2021	2.555.636
07 Castilla y León	Total fincas	Importe de hipotecas	2020	2.125.643
07 Castilla y León	Total fincas	Importe de hipotecas	2019	2.215.786
07 Castilla y León	Total fincas	Importe de hipotecas	2018	2.067.795
07 Castilla y León	Total fincas	Importe de hipotecas	2017	1.857.719
07 Castilla y León	Total fincas	Importe de hipotecas	2016	1.924.583
07 Castilla y León	Total fincas	Importe de hipotecas	2015	1.769.486
07 Castilla y León	Total fincas	Importe de hipotecas	2014	1.466.098
07 Castilla y León	Total fincas	Importe de hipotecas	2013	1.763.607
07 Castilla y León	Total fincas	Importe de hipotecas	2012	2.862.890
07 Castilla y León	Total fincas	Importe de hipotecas	2011	4.219.029
07 Castilla y León	Total fincas	Importe de hipotecas	2010	6.555.682
07 Castilla y León	Total fincas	Importe de hipotecas	2009	7.945.120
07 Castilla y León	Total fincas	Importe de hipotecas	2008	10.246.357
07 Castilla y León	Total fincas	Importe de hipotecas	2007	13.350.200
07 Castilla y León	Total fincas	Importe de hipotecas	2006	12.290.919
07 Castilla y León	Total fincas	Importe de hipotecas	2005	9.745.077
07 Castilla y León	Total fincas	Importe de hipotecas	2004	8.393.403
07 Castilla y León	Total fincas	Importe de hipotecas	2003	6.676.542
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2025	762
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2024	618
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2023	587
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2022	810
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2021	814
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2020	861
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2019	1.104
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2018	1.229
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2017	1.313
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2016	1.337
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2015	1.990
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2014	1.499
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2013	2.023
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2012	2.724
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2011	2.445
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2010	2.829
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2009	3.473
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2008	2.695
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2007	2.915
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2006	2.882
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2005	2.603
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2004	2.609
07 Castilla y León	Total fincas rústicas	Número de hipotecas	2003	1.895
07 Castilla y León	Total fincas rústicas	Importe de hipotecas	2025	118.803
07 Castilla y León	Total fincas rústicas	Importe de hipotecas	2024	108.581
07 Castilla y León	Total fincas rústicas	Importe de hipotecas	2023	87.701
07 Castilla y León	Total fincas rústicas	Importe de hipotecas	2022	112.185
07 Castilla y León	Total fincas rústicas	Importe de hipotecas	2021	122.544
07 Castilla y León	Total fincas rústicas	Importe de hipotecas	2020	114.624
07 Castilla y León	Total fincas rústicas	Importe de hipotecas	2019	154.400
07 Castilla y León	Total fincas rústicas	Importe de hipotecas	2018	143.585
07 Castilla y León	Total fincas rústicas	Importe de hipotecas	2017	164.537
07 Castilla y León	Total fincas rústicas	Importe de hipotecas	2016	194.685
