Secciones de la CNAE-09	Tipo de coste	Periodo	Total
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2011T1	105,7
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2010T4	105,2
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2010T3	104,6
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2010T2	105,2
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2010T1	104,8
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2009T4	105,3
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2009T3	105,2
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2009T2	103,9
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2009T1	102,4
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2008T4	101,6
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2008T3	100,7
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2008T2	99,3
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2008T1	98,4
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2007T4	97,3
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2007T3	96,2
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2007T2	95
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2007T1	93,8
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2006T4	92,6
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2006T3	91,3
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2006T2	90,8
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2006T1	89,9
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2005T4	89,7
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2005T3	88,6
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2005T2	88,4
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2005T1	87,4
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2004T4	86,8
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2004T3	86,3
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2004T2	85,6
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2004T1	85,2
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2003T4	84,2
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2003T3	82,9
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2003T2	82
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2003T1	81,2
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2002T4	80
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2002T3	79,2
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2002T2	77,9
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2002T1	76,8
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2001T4	76
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2001T3	75,7
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2001T2	74,4
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2001T1	73,9
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2000T4	73,2
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2000T3	72,5
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2000T2	72,2
B_S TODAS	Coste salarial total por hora efectiva de trabajo	2000T1	71,8
B_S TODAS	Otros costes por hora efectiva de trabajo	2014T4	109,7
B_S TODAS	Otros costes por hora efectiva de trabajo	2014T3	110,8
B_S TODAS	Otros costes por hora efectiva de trabajo	2014T2	110,3
B_S TODAS	Otros costes por hora efectiva de trabajo	2014T1	110,1
B_S TODAS	Otros costes por hora efectiva de trabajo	2013T4	110,5
B_S TODAS	Otros costes por hora efectiva de trabajo	2013T3	111,6
B_S TODAS	Otros costes por hora efectiva de trabajo	2013T2	109,1
B_S TODAS	Otros costes por hora efectiva de trabajo	2013T1	109,5
B_S TODAS	Otros costes por hora efectiva de trabajo	2012T4	109,3
B_S TODAS	Otros costes por hora efectiva de trabajo	2012T3	109,3
B_S TODAS	Otros costes por hora efectiva de trabajo	2012T2	108,6
B_S TODAS	Otros costes por hora efectiva de trabajo	2012T1	108,9
B_S TODAS	Otros costes por hora efectiva de trabajo	2011T4	109,9
B_S TODAS	Otros costes por hora efectiva de trabajo	2011T3	108,9
B_S TODAS	Otros costes por hora efectiva de trabajo	2011T2	108,3
B_S TODAS	Otros costes por hora efectiva de trabajo	2011T1	106,6
B_S TODAS	Otros costes por hora efectiva de trabajo	2010T4	106,1
B_S TODAS	Otros costes por hora efectiva de trabajo	2010T3	104,6
B_S TODAS	Otros costes por hora efectiva de trabajo	2010T2	105,6
B_S TODAS	Otros costes por hora efectiva de trabajo	2010T1	105,7
B_S TODAS	Otros costes por hora efectiva de trabajo	2009T4	106,4
B_S TODAS	Otros costes por hora efectiva de trabajo	2009T3	106,6
B_S TODAS	Otros costes por hora efectiva de trabajo	2009T2	105,5
B_S TODAS	Otros costes por hora efectiva de trabajo	2009T1	105,7
B_S TODAS	Otros costes por hora efectiva de trabajo	2008T4	102,6
B_S TODAS	Otros costes por hora efectiva de trabajo	2008T3	100,8
B_S TODAS	Otros costes por hora efectiva de trabajo	2008T2	99,7
B_S TODAS	Otros costes por hora efectiva de trabajo	2008T1	97
B_S TODAS	Otros costes por hora efectiva de trabajo	2007T4	96,7
B_S TODAS	Otros costes por hora efectiva de trabajo	2007T3	96,9
B_S TODAS	Otros costes por hora efectiva de trabajo	2007T2	95,3
B_S TODAS	Otros costes por hora efectiva de trabajo	2007T1	93,4
B_S TODAS	Otros costes por hora efectiva de trabajo	2006T4	91,9
B_S TODAS	Otros costes por hora efectiva de trabajo	2006T3	91
B_S TODAS	Otros costes por hora efectiva de trabajo	2006T2	91,4
B_S TODAS	Otros costes por hora efectiva de trabajo	2006T1	90,6
B_S TODAS	Otros costes por hora efectiva de trabajo	2005T4	89,6
B_S TODAS	Otros costes por hora efectiva de trabajo	2005T3	88
B_S TODAS	Otros costes por hora efectiva de trabajo	2005T2	86,9
B_S TODAS	Otros costes por hora efectiva de trabajo	2005T1	86,9
B_S TODAS	Otros costes por hora efectiva de trabajo	2004T4	85,7
B_S TODAS	Otros costes por hora efectiva de trabajo	2004T3	84,6
B_S TODAS	Otros costes por hora efectiva de trabajo	2004T2	83,8
B_S TODAS	Otros costes por hora efectiva de trabajo	2004T1	82,9
B_S TODAS	Otros costes por hora efectiva de trabajo	2003T4	82,5
B_S TODAS	Otros costes por hora efectiva de trabajo	2003T3	81
B_S TODAS	Otros costes por hora efectiva de trabajo	2003T2	80,1
B_S TODAS	Otros costes por hora efectiva de trabajo	2003T1	78,7
B_S TODAS	Otros costes por hora efectiva de trabajo	2002T4	77,2
B_S TODAS	Otros costes por hora efectiva de trabajo	2002T3	76,4
B_S TODAS	Otros costes por hora efectiva de trabajo	2002T2	74,7
B_S TODAS	Otros costes por hora efectiva de trabajo	2002T1	73
B_S TODAS	Otros costes por hora efectiva de trabajo	2001T4	71,8
B_S TODAS	Otros costes por hora efectiva de trabajo	2001T3	71,5
B_S TODAS	Otros costes por hora efectiva de trabajo	2001T2	70,1
B_S TODAS	Otros costes por hora efectiva de trabajo	2001T1	68,4
B_S TODAS	Otros costes por hora efectiva de trabajo	2000T4	67,3
B_S TODAS	Otros costes por hora efectiva de trabajo	2000T3	66,8
B_S TODAS	Otros costes por hora efectiva de trabajo	2000T2	65,8
B_S TODAS	Otros costes por hora efectiva de trabajo	2000T1	65,1
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2014T4	108
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2014T3	108,1
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2014T2	108
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2014T1	107,7
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2013T4	107,6
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2013T3	107,8
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2013T2	106,7
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2013T1	107,3
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2012T4	105,8
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2012T3	107,3
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2012T2	107
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2012T1	107,2
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2011T4	107,4
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2011T3	107
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2011T2	106
