Total Nacional;Provincias;Tamaño de la vivienda;Tipo de dato;Periodo;Total
Total Nacional;12 Castellón/Castelló;(75-90];Variación anual;2015;-0,6
Total Nacional;12 Castellón/Castelló;(75-90];Variación anual;2014;-1,9
Total Nacional;12 Castellón/Castelló;(75-90];Variación anual;2013;-2,8
Total Nacional;12 Castellón/Castelló;(75-90];Variación anual;2012;-3,4
Total Nacional;12 Castellón/Castelló;(75-90];Variación anual;2011;..
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2023;118,168
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2022;114,688
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2021;111,406
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2020;108,766
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2019;107,104
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2018;104,104
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2017;102,08
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2016;101,086
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2015;100
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2014;100,769
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2013;103,023
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2012;107,16
Total Nacional;12 Castellón/Castelló;(90-120];Índice;2011;110,968
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2023;3
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2022;2,9
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2021;2,4
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2020;1,6
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2019;2,9
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2018;2
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2017;1
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2016;1,1
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2015;-0,8
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2014;-2,2
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2013;-3,9
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2012;-3,4
Total Nacional;12 Castellón/Castelló;(90-120];Variación anual;2011;..
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2023;116,732
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2022;113,628
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2021;110,787
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2020;108,043
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2019;107,707
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2018;104,409
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2017;102,58
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2016;100,709
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2015;100
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2014;100,642
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2013;101,684
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2012;105,724
Total Nacional;12 Castellón/Castelló;(120-150];Índice;2011;108,513
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2023;2,7
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2022;2,6
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2021;2,5
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2020;0,3
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2019;3,2
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2018;1,8
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2017;1,9
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2016;0,7
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2015;-0,6
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2014;-1
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2013;-3,8
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2012;-2,6
Total Nacional;12 Castellón/Castelló;(120-150];Variación anual;2011;..
Total Nacional;12 Castellón/Castelló;>150;Índice;2023;114,538
Total Nacional;12 Castellón/Castelló;>150;Índice;2022;111,366
Total Nacional;12 Castellón/Castelló;>150;Índice;2021;108,766
Total Nacional;12 Castellón/Castelló;>150;Índice;2020;106,462
Total Nacional;12 Castellón/Castelló;>150;Índice;2019;104,85
Total Nacional;12 Castellón/Castelló;>150;Índice;2018;104,303
Total Nacional;12 Castellón/Castelló;>150;Índice;2017;102,362
Total Nacional;12 Castellón/Castelló;>150;Índice;2016;100,067
Total Nacional;12 Castellón/Castelló;>150;Índice;2015;100
Total Nacional;12 Castellón/Castelló;>150;Índice;2014;101,38
Total Nacional;12 Castellón/Castelló;>150;Índice;2013;101,591
Total Nacional;12 Castellón/Castelló;>150;Índice;2012;101,095
Total Nacional;12 Castellón/Castelló;>150;Índice;2011;102,474
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2023;2,8
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2022;2,4
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2021;2,2
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2020;1,5
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2019;0,5
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2018;1,9
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2017;2,3
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2016;0,1
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2015;-1,4
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2014;-0,2
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2013;0,5
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2012;-1,3
Total Nacional;12 Castellón/Castelló;>150;Variación anual;2011;..
Total Nacional;13 Ciudad Real;Total;Índice;2023;113,239
Total Nacional;13 Ciudad Real;Total;Índice;2022;111,307
Total Nacional;13 Ciudad Real;Total;Índice;2021;109,08
Total Nacional;13 Ciudad Real;Total;Índice;2020;107,075
Total Nacional;13 Ciudad Real;Total;Índice;2019;105,898
Total Nacional;13 Ciudad Real;Total;Índice;2018;103,387
Total Nacional;13 Ciudad Real;Total;Índice;2017;102,058
Total Nacional;13 Ciudad Real;Total;Índice;2016;101,519
Total Nacional;13 Ciudad Real;Total;Índice;2015;100
Total Nacional;13 Ciudad Real;Total;Índice;2014;101,888
Total Nacional;13 Ciudad Real;Total;Índice;2013;103,64
Total Nacional;13 Ciudad Real;Total;Índice;2012;107,496
Total Nacional;13 Ciudad Real;Total;Índice;2011;108,967
Total Nacional;13 Ciudad Real;Total;Variación anual;2023;1,7
Total Nacional;13 Ciudad Real;Total;Variación anual;2022;2
Total Nacional;13 Ciudad Real;Total;Variación anual;2021;1,9
Total Nacional;13 Ciudad Real;Total;Variación anual;2020;1,1
Total Nacional;13 Ciudad Real;Total;Variación anual;2019;2,4
Total Nacional;13 Ciudad Real;Total;Variación anual;2018;1,3
Total Nacional;13 Ciudad Real;Total;Variación anual;2017;0,5
Total Nacional;13 Ciudad Real;Total;Variación anual;2016;1,5
Total Nacional;13 Ciudad Real;Total;Variación anual;2015;-1,9
Total Nacional;13 Ciudad Real;Total;Variación anual;2014;-1,7
Total Nacional;13 Ciudad Real;Total;Variación anual;2013;-3,6
Total Nacional;13 Ciudad Real;Total;Variación anual;2012;-1,3
Total Nacional;13 Ciudad Real;Total;Variación anual;2011;..
Total Nacional;13 Ciudad Real;<=60;Índice;2023;116,573
Total Nacional;13 Ciudad Real;<=60;Índice;2022;114,137
Total Nacional;13 Ciudad Real;<=60;Índice;2021;111,143
Total Nacional;13 Ciudad Real;<=60;Índice;2020;109,254
Total Nacional;13 Ciudad Real;<=60;Índice;2019;107,771
Total Nacional;13 Ciudad Real;<=60;Índice;2018;103,264
Total Nacional;13 Ciudad Real;<=60;Índice;2017;101,649
Total Nacional;13 Ciudad Real;<=60;Índice;2016;101,175
Total Nacional;13 Ciudad Real;<=60;Índice;2015;100
Total Nacional;13 Ciudad Real;<=60;Índice;2014;100,982
Total Nacional;13 Ciudad Real;<=60;Índice;2013;104,228
Total Nacional;13 Ciudad Real;<=60;Índice;2012;108,61
Total Nacional;13 Ciudad Real;<=60;Índice;2011;111,028
Total Nacional;13 Ciudad Real;<=60;Variación anual;2023;2,1
Total Nacional;13 Ciudad Real;<=60;Variación anual;2022;2,7
Total Nacional;13 Ciudad Real;<=60;Variación anual;2021;1,7
Total Nacional;13 Ciudad Real;<=60;Variación anual;2020;1,4
Total Nacional;13 Ciudad Real;<=60;Variación anual;2019;4,4
Total Nacional;13 Ciudad Real;<=60;Variación anual;2018;1,6
Total Nacional;13 Ciudad Real;<=60;Variación anual;2017;0,5
Total Nacional;13 Ciudad Real;<=60;Variación anual;2016;1,2
Total Nacional;13 Ciudad Real;<=60;Variación anual;2015;-1
Total Nacional;13 Ciudad Real;<=60;Variación anual;2014;-3,1
Total Nacional;13 Ciudad Real;<=60;Variación anual;2013;-4
Total Nacional;13 Ciudad Real;<=60;Variación anual;2012;-2,2
Total Nacional;13 Ciudad Real;<=60;Variación anual;2011;..
Total Nacional;13 Ciudad Real;(60-75];Índice;2023;115,858
Total Nacional;13 Ciudad Real;(60-75];Índice;2022;113,397
Total Nacional;13 Ciudad Real;(60-75];Índice;2021;111,145
Total Nacional;13 Ciudad Real;(60-75];Índice;2020;109,185
Total Nacional;13 Ciudad Real;(60-75];Índice;2019;108,017
Total Nacional;13 Ciudad Real;(60-75];Índice;2018;105,097
Total Nacional;13 Ciudad Real;(60-75];Índice;2017;103,428
Total Nacional;13 Ciudad Real;(60-75];Índice;2016;102,406
Total Nacional;13 Ciudad Real;(60-75];Índice;2015;100
Total Nacional;13 Ciudad Real;(60-75];Índice;2014;102,525
Total Nacional;13 Ciudad Real;(60-75];Índice;2013;105,881
Total Nacional;13 Ciudad Real;(60-75];Índice;2012;110,43
Total Nacional;13 Ciudad Real;(60-75];Índice;2011;113,135
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2023;2,2
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2022;2
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2021;1,8
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2020;1,1
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2019;2,8
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2018;1,6
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2017;1
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2016;2,4
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2015;-2,5
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2014;-3,2
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2013;-4,1
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2012;-2,4
Total Nacional;13 Ciudad Real;(60-75];Variación anual;2011;..
Total Nacional;13 Ciudad Real;(75-90];Índice;2023;113,958
Total Nacional;13 Ciudad Real;(75-90];Índice;2022;111,999
Total Nacional;13 Ciudad Real;(75-90];Índice;2021;109,205
Total Nacional;13 Ciudad Real;(75-90];Índice;2020;107,248
Total Nacional;13 Ciudad Real;(75-90];Índice;2019;105,749
Total Nacional;13 Ciudad Real;(75-90];Índice;2018;102,899
Total Nacional;13 Ciudad Real;(75-90];Índice;2017;101,541
Total Nacional;13 Ciudad Real;(75-90];Índice;2016;101,397
Total Nacional;13 Ciudad Real;(75-90];Índice;2015;100
Total Nacional;13 Ciudad Real;(75-90];Índice;2014;101,931
Total Nacional;13 Ciudad Real;(75-90];Índice;2013;102,948
Total Nacional;13 Ciudad Real;(75-90];Índice;2012;107,769
Total Nacional;13 Ciudad Real;(75-90];Índice;2011;108,653
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2023;1,7
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2022;2,6
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2021;1,8
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2020;1,4
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2019;2,8
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2018;1,3
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2017;0,1
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2016;1,4
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2015;-1,9
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2014;-1
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2013;-4,5
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2012;-0,8
Total Nacional;13 Ciudad Real;(75-90];Variación anual;2011;..
Total Nacional;13 Ciudad Real;(90-120];Índice;2023;111,908
Total Nacional;13 Ciudad Real;(90-120];Índice;2022;110,134
Total Nacional;13 Ciudad Real;(90-120];Índice;2021;108,231
Total Nacional;13 Ciudad Real;(90-120];Índice;2020;105,696
Total Nacional;13 Ciudad Real;(90-120];Índice;2019;104,809
Total Nacional;13 Ciudad Real;(90-120];Índice;2018;102,515
Total Nacional;13 Ciudad Real;(90-120];Índice;2017;101,54
Total Nacional;13 Ciudad Real;(90-120];Índice;2016;101,406
Total Nacional;13 Ciudad Real;(90-120];Índice;2015;100
Total Nacional;13 Ciudad Real;(90-120];Índice;2014;102,168
Total Nacional;13 Ciudad Real;(90-120];Índice;2013;103,415
Total Nacional;13 Ciudad Real;(90-120];Índice;2012;106,843
Total Nacional;13 Ciudad Real;(90-120];Índice;2011;107,76
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2023;1,6
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2022;1,8
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2021;2,4
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2020;0,8
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2019;2,2
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2018;1
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2017;0,1
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2016;1,4
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2015;-2,1
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2014;-1,2
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2013;-3,2
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2012;-0,9
Total Nacional;13 Ciudad Real;(90-120];Variación anual;2011;..
Total Nacional;13 Ciudad Real;(120-150];Índice;2023;110,319
Total Nacional;13 Ciudad Real;(120-150];Índice;2022;108,791
Total Nacional;13 Ciudad Real;(120-150];Índice;2021;107,064
Total Nacional;13 Ciudad Real;(120-150];Índice;2020;105,064
Total Nacional;13 Ciudad Real;(120-150];Índice;2019;104,496
Total Nacional;13 Ciudad Real;(120-150];Índice;2018;103,486
Total Nacional;13 Ciudad Real;(120-150];Índice;2017;102,385
Total Nacional;13 Ciudad Real;(120-150];Índice;2016;101,271
Total Nacional;13 Ciudad Real;(120-150];Índice;2015;100
Total Nacional;13 Ciudad Real;(120-150];Índice;2014;101,959
Total Nacional;13 Ciudad Real;(120-150];Índice;2013;102,61
Total Nacional;13 Ciudad Real;(120-150];Índice;2012;104,86
Total Nacional;13 Ciudad Real;(120-150];Índice;2011;105,566
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2023;1,4
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2022;1,6
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2021;1,9
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2020;0,5
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2019;1
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2018;1,1
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2017;1,1
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2016;1,3
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2015;-1,9
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2014;-0,6
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2013;-2,1
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2012;-0,7
Total Nacional;13 Ciudad Real;(120-150];Variación anual;2011;..
Total Nacional;13 Ciudad Real;>150;Índice;2023;106,824
Total Nacional;13 Ciudad Real;>150;Índice;2022;106,278
Total Nacional;13 Ciudad Real;>150;Índice;2021;105,41
Total Nacional;13 Ciudad Real;>150;Índice;2020;105,261
Total Nacional;13 Ciudad Real;>150;Índice;2019;103,457
Total Nacional;13 Ciudad Real;>150;Índice;2018;104,26
Total Nacional;13 Ciudad Real;>150;Índice;2017;102,576
Total Nacional;13 Ciudad Real;>150;Índice;2016;101,047
Total Nacional;13 Ciudad Real;>150;Índice;2015;100
Total Nacional;13 Ciudad Real;>150;Índice;2014;100,569
Total Nacional;13 Ciudad Real;>150;Índice;2013;100,777
Total Nacional;13 Ciudad Real;>150;Índice;2012;102,878
Total Nacional;13 Ciudad Real;>150;Índice;2011;104,109
Total Nacional;13 Ciudad Real;>150;Variación anual;2023;0,5
Total Nacional;13 Ciudad Real;>150;Variación anual;2022;0,8
Total Nacional;13 Ciudad Real;>150;Variación anual;2021;0,1
Total Nacional;13 Ciudad Real;>150;Variación anual;2020;1,7
Total Nacional;13 Ciudad Real;>150;Variación anual;2019;-0,8
Total Nacional;13 Ciudad Real;>150;Variación anual;2018;1,6
Total Nacional;13 Ciudad Real;>150;Variación anual;2017;1,5
Total Nacional;13 Ciudad Real;>150;Variación anual;2016;1
Total Nacional;13 Ciudad Real;>150;Variación anual;2015;-0,6
Total Nacional;13 Ciudad Real;>150;Variación anual;2014;-0,2
Total Nacional;13 Ciudad Real;>150;Variación anual;2013;-2
Total Nacional;13 Ciudad Real;>150;Variación anual;2012;-1,2
Total Nacional;13 Ciudad Real;>150;Variación anual;2011;..
Total Nacional;14 Córdoba;Total;Índice;2023;111,691
Total Nacional;14 Córdoba;Total;Índice;2022;110,124
Total Nacional;14 Córdoba;Total;Índice;2021;108,202
Total Nacional;14 Córdoba;Total;Índice;2020;106,694
Total Nacional;14 Córdoba;Total;Índice;2019;106,498
Total Nacional;14 Córdoba;Total;Índice;2018;103,702
Total Nacional;14 Córdoba;Total;Índice;2017;102,472
Total Nacional;14 Córdoba;Total;Índice;2016;101,251
Total Nacional;14 Córdoba;Total;Índice;2015;100
Total Nacional;14 Córdoba;Total;Índice;2014;100,683
Total Nacional;14 Córdoba;Total;Índice;2013;101,086
Total Nacional;14 Córdoba;Total;Índice;2012;103,842
Total Nacional;14 Córdoba;Total;Índice;2011;104,496
Total Nacional;14 Córdoba;Total;Variación anual;2023;1,4
Total Nacional;14 Córdoba;Total;Variación anual;2022;1,8
Total Nacional;14 Córdoba;Total;Variación anual;2021;1,4
Total Nacional;14 Córdoba;Total;Variación anual;2020;0,2
Total Nacional;14 Córdoba;Total;Variación anual;2019;2,7
Total Nacional;14 Córdoba;Total;Variación anual;2018;1,2
Total Nacional;14 Córdoba;Total;Variación anual;2017;1,2
Total Nacional;14 Córdoba;Total;Variación anual;2016;1,3
Total Nacional;14 Córdoba;Total;Variación anual;2015;-0,7
Total Nacional;14 Córdoba;Total;Variación anual;2014;-0,4
Total Nacional;14 Córdoba;Total;Variación anual;2013;-2,7
Total Nacional;14 Córdoba;Total;Variación anual;2012;-0,6
Total Nacional;14 Córdoba;Total;Variación anual;2011;..
Total Nacional;14 Córdoba;<=60;Índice;2023;113,102
Total Nacional;14 Córdoba;<=60;Índice;2022;110,917
Total Nacional;14 Córdoba;<=60;Índice;2021;108,656
Total Nacional;14 Córdoba;<=60;Índice;2020;107,839
Total Nacional;14 Córdoba;<=60;Índice;2019;107,302
Total Nacional;14 Córdoba;<=60;Índice;2018;104,137
Total Nacional;14 Córdoba;<=60;Índice;2017;102,714
Total Nacional;14 Córdoba;<=60;Índice;2016;101,118
Total Nacional;14 Córdoba;<=60;Índice;2015;100
Total Nacional;14 Córdoba;<=60;Índice;2014;100,048
Total Nacional;14 Córdoba;<=60;Índice;2013;101,051
Total Nacional;14 Córdoba;<=60;Índice;2012;104,723
Total Nacional;14 Córdoba;<=60;Índice;2011;106,796
Total Nacional;14 Córdoba;<=60;Variación anual;2023;2
Total Nacional;14 Córdoba;<=60;Variación anual;2022;2,1
Total Nacional;14 Córdoba;<=60;Variación anual;2021;0,8
Total Nacional;14 Córdoba;<=60;Variación anual;2020;0,5
Total Nacional;14 Córdoba;<=60;Variación anual;2019;3
Total Nacional;14 Córdoba;<=60;Variación anual;2018;1,4
Total Nacional;14 Córdoba;<=60;Variación anual;2017;1,6
Total Nacional;14 Córdoba;<=60;Variación anual;2016;1,1
Total Nacional;14 Córdoba;<=60;Variación anual;2015;0
Total Nacional;14 Córdoba;<=60;Variación anual;2014;-1
Total Nacional;14 Córdoba;<=60;Variación anual;2013;-3,5
Total Nacional;14 Córdoba;<=60;Variación anual;2012;-1,9
Total Nacional;14 Córdoba;<=60;Variación anual;2011;..
Total Nacional;14 Córdoba;(60-75];Índice;2023;112,315
Total Nacional;14 Córdoba;(60-75];Índice;2022;110,641
Total Nacional;14 Córdoba;(60-75];Índice;2021;108,362
Total Nacional;14 Córdoba;(60-75];Índice;2020;107,055
Total Nacional;14 Córdoba;(60-75];Índice;2019;106,656
Total Nacional;14 Córdoba;(60-75];Índice;2018;103,118
Total Nacional;14 Córdoba;(60-75];Índice;2017;101,875
Total Nacional;14 Córdoba;(60-75];Índice;2016;100,928
Total Nacional;14 Córdoba;(60-75];Índice;2015;100
Total Nacional;14 Córdoba;(60-75];Índice;2014;100,351
Total Nacional;14 Córdoba;(60-75];Índice;2013;100,845
Total Nacional;14 Córdoba;(60-75];Índice;2012;103,789
Total Nacional;14 Córdoba;(60-75];Índice;2011;104,03
Total Nacional;14 Córdoba;(60-75];Variación anual;2023;1,5
Total Nacional;14 Córdoba;(60-75];Variación anual;2022;2,1
Total Nacional;14 Córdoba;(60-75];Variación anual;2021;1,2
Total Nacional;14 Córdoba;(60-75];Variación anual;2020;0,4
Total Nacional;14 Córdoba;(60-75];Variación anual;2019;3,4
Total Nacional;14 Córdoba;(60-75];Variación anual;2018;1,2
Total Nacional;14 Córdoba;(60-75];Variación anual;2017;0,9
Total Nacional;14 Córdoba;(60-75];Variación anual;2016;0,9
Total Nacional;14 Córdoba;(60-75];Variación anual;2015;-0,3
Total Nacional;14 Córdoba;(60-75];Variación anual;2014;-0,5
Total Nacional;14 Córdoba;(60-75];Variación anual;2013;-2,8
Total Nacional;14 Córdoba;(60-75];Variación anual;2012;-0,2
Total Nacional;14 Córdoba;(60-75];Variación anual;2011;..
Total Nacional;14 Córdoba;(75-90];Índice;2023;113,018
Total Nacional;14 Córdoba;(75-90];Índice;2022;111,637
Total Nacional;14 Córdoba;(75-90];Índice;2021;109,248
Total Nacional;14 Córdoba;(75-90];Índice;2020;107,724
Total Nacional;14 Córdoba;(75-90];Índice;2019;107,464
Total Nacional;14 Córdoba;(75-90];Índice;2018;104,51
Total Nacional;14 Córdoba;(75-90];Índice;2017;102,596
Total Nacional;14 Córdoba;(75-90];Índice;2016;101,454
Total Nacional;14 Córdoba;(75-90];Índice;2015;100
Total Nacional;14 Córdoba;(75-90];Índice;2014;101,162
Total Nacional;14 Córdoba;(75-90];Índice;2013;102,137
Total Nacional;14 Córdoba;(75-90];Índice;2012;104,417
Total Nacional;14 Córdoba;(75-90];Índice;2011;104,467
Total Nacional;14 Córdoba;(75-90];Variación anual;2023;1,2
Total Nacional;14 Córdoba;(75-90];Variación anual;2022;2,2
Total Nacional;14 Córdoba;(75-90];Variación anual;2021;1,4
Total Nacional;14 Córdoba;(75-90];Variación anual;2020;0,2
Total Nacional;14 Córdoba;(75-90];Variación anual;2019;2,8
Total Nacional;14 Córdoba;(75-90];Variación anual;2018;1,9
Total Nacional;14 Córdoba;(75-90];Variación anual;2017;1,1
Total Nacional;14 Córdoba;(75-90];Variación anual;2016;1,5
Total Nacional;14 Córdoba;(75-90];Variación anual;2015;-1,1
Total Nacional;14 Córdoba;(75-90];Variación anual;2014;-1
Total Nacional;14 Córdoba;(75-90];Variación anual;2013;-2,2
Total Nacional;14 Córdoba;(75-90];Variación anual;2012;0
Total Nacional;14 Córdoba;(75-90];Variación anual;2011;..
Total Nacional;14 Córdoba;(90-120];Índice;2023;111,998
Total Nacional;14 Córdoba;(90-120];Índice;2022;110,342
Total Nacional;14 Córdoba;(90-120];Índice;2021;108,88
Total Nacional;14 Córdoba;(90-120];Índice;2020;107,008
Total Nacional;14 Córdoba;(90-120];Índice;2019;107,055
Total Nacional;14 Córdoba;(90-120];Índice;2018;104,326
Total Nacional;14 Córdoba;(90-120];Índice;2017;103,271
Total Nacional;14 Córdoba;(90-120];Índice;2016;102,108
Total Nacional;14 Córdoba;(90-120];Índice;2015;100
Total Nacional;14 Córdoba;(90-120];Índice;2014;101,406
Total Nacional;14 Córdoba;(90-120];Índice;2013;101,442
Total Nacional;14 Córdoba;(90-120];Índice;2012;104,383
Total Nacional;14 Córdoba;(90-120];Índice;2011;105,368
Total Nacional;14 Córdoba;(90-120];Variación anual;2023;1,5
Total Nacional;14 Córdoba;(90-120];Variación anual;2022;1,3
Total Nacional;14 Córdoba;(90-120];Variación anual;2021;1,7
Total Nacional;14 Córdoba;(90-120];Variación anual;2020;0
Total Nacional;14 Córdoba;(90-120];Variación anual;2019;2,6
Total Nacional;14 Córdoba;(90-120];Variación anual;2018;1
Total Nacional;14 Córdoba;(90-120];Variación anual;2017;1,1
Total Nacional;14 Córdoba;(90-120];Variación anual;2016;2,1
Total Nacional;14 Córdoba;(90-120];Variación anual;2015;-1,4
Total Nacional;14 Córdoba;(90-120];Variación anual;2014;0
Total Nacional;14 Córdoba;(90-120];Variación anual;2013;-2,8
Total Nacional;14 Córdoba;(90-120];Variación anual;2012;-0,9
Total Nacional;14 Córdoba;(90-120];Variación anual;2011;..
Total Nacional;14 Córdoba;(120-150];Índice;2023;109,643
Total Nacional;14 Córdoba;(120-150];Índice;2022;108,536
Total Nacional;14 Córdoba;(120-150];Índice;2021;107,577
Total Nacional;14 Córdoba;(120-150];Índice;2020;105,454
Total Nacional;14 Córdoba;(120-150];Índice;2019;105,833
Total Nacional;14 Córdoba;(120-150];Índice;2018;104,226
Total Nacional;14 Córdoba;(120-150];Índice;2017;102,824
Total Nacional;14 Córdoba;(120-150];Índice;2016;100,367
Total Nacional;14 Córdoba;(120-150];Índice;2015;100
Total Nacional;14 Córdoba;(120-150];Índice;2014;100
Total Nacional;14 Córdoba;(120-150];Índice;2013;100,783
Total Nacional;14 Córdoba;(120-150];Índice;2012;102,48
Total Nacional;14 Córdoba;(120-150];Índice;2011;103,086
Total Nacional;14 Córdoba;(120-150];Variación anual;2023;1
Total Nacional;14 Córdoba;(120-150];Variación anual;2022;0,9
Total Nacional;14 Córdoba;(120-150];Variación anual;2021;2
Total Nacional;14 Córdoba;(120-150];Variación anual;2020;-0,4
Total Nacional;14 Córdoba;(120-150];Variación anual;2019;1,5
Total Nacional;14 Córdoba;(120-150];Variación anual;2018;1,4
Total Nacional;14 Córdoba;(120-150];Variación anual;2017;2,4
Total Nacional;14 Córdoba;(120-150];Variación anual;2016;0,4
Total Nacional;14 Córdoba;(120-150];Variación anual;2015;0
Total Nacional;14 Córdoba;(120-150];Variación anual;2014;-0,8
Total Nacional;14 Córdoba;(120-150];Variación anual;2013;-1,7
Total Nacional;14 Córdoba;(120-150];Variación anual;2012;-0,6
Total Nacional;14 Córdoba;(120-150];Variación anual;2011;..
Total Nacional;14 Córdoba;>150;Índice;2023;104,537
Total Nacional;14 Córdoba;>150;Índice;2022;103,839
Total Nacional;14 Córdoba;>150;Índice;2021;101,965
