Municipio;Tipo de dato;Periodo;Total
02081 Villarrobledo;Índice;2020;106,859
02081 Villarrobledo;Índice;2019;105,787
02081 Villarrobledo;Índice;2018;104,002
02081 Villarrobledo;Índice;2017;102,422
02081 Villarrobledo;Índice;2016;100,125
02081 Villarrobledo;Índice;2015;100
02081 Villarrobledo;Índice;2014;100,265
02081 Villarrobledo;Índice;2013;100,197
02081 Villarrobledo;Índice;2012;103,333
02081 Villarrobledo;Índice;2011;108,57
02081 Villarrobledo;Variación anual;2023;1,5
02081 Villarrobledo;Variación anual;2022;1,1
02081 Villarrobledo;Variación anual;2021;1,9
02081 Villarrobledo;Variación anual;2020;1
02081 Villarrobledo;Variación anual;2019;1,7
02081 Villarrobledo;Variación anual;2018;1,5
02081 Villarrobledo;Variación anual;2017;2,3
02081 Villarrobledo;Variación anual;2016;0,1
02081 Villarrobledo;Variación anual;2015;-0,3
02081 Villarrobledo;Variación anual;2014;0,1
02081 Villarrobledo;Variación anual;2013;-3
02081 Villarrobledo;Variación anual;2012;-4,8
02081 Villarrobledo;Variación anual;2011;..
Resto Albacete;Índice;2023;112,525
Resto Albacete;Índice;2022;111,007
Resto Albacete;Índice;2021;109,393
Resto Albacete;Índice;2020;107,645
Resto Albacete;Índice;2019;107,156
Resto Albacete;Índice;2018;103,715
Resto Albacete;Índice;2017;102,005
Resto Albacete;Índice;2016;100,021
Resto Albacete;Índice;2015;100
Resto Albacete;Índice;2014;101,159
Resto Albacete;Índice;2013;101,236
Resto Albacete;Índice;2012;103,47
Resto Albacete;Índice;2011;105,773
Resto Albacete;Variación anual;2023;1,4
Resto Albacete;Variación anual;2022;1,5
Resto Albacete;Variación anual;2021;1,6
Resto Albacete;Variación anual;2020;0,5
Resto Albacete;Variación anual;2019;3,3
Resto Albacete;Variación anual;2018;1,7
Resto Albacete;Variación anual;2017;2
Resto Albacete;Variación anual;2016;0
Resto Albacete;Variación anual;2015;-1,1
Resto Albacete;Variación anual;2014;-0,1
Resto Albacete;Variación anual;2013;-2,2
Resto Albacete;Variación anual;2012;-2,2
Resto Albacete;Variación anual;2011;..
03005 Albatera;Índice;2023;117,243
03005 Albatera;Índice;2022;113,659
03005 Albatera;Índice;2021;110,798
03005 Albatera;Índice;2020;108,595
03005 Albatera;Índice;2019;108,801
03005 Albatera;Índice;2018;107,773
03005 Albatera;Índice;2017;105,24
03005 Albatera;Índice;2016;100,168
03005 Albatera;Índice;2015;100
03005 Albatera;Índice;2014;98,07
03005 Albatera;Índice;2013;100,988
03005 Albatera;Índice;2012;102,545
03005 Albatera;Índice;2011;107,032
03005 Albatera;Variación anual;2023;3,2
03005 Albatera;Variación anual;2022;2,6
03005 Albatera;Variación anual;2021;2
03005 Albatera;Variación anual;2020;-0,2
03005 Albatera;Variación anual;2019;1
03005 Albatera;Variación anual;2018;2,4
03005 Albatera;Variación anual;2017;5,1
03005 Albatera;Variación anual;2016;0,2
03005 Albatera;Variación anual;2015;2
03005 Albatera;Variación anual;2014;-2,9
03005 Albatera;Variación anual;2013;-1,5
03005 Albatera;Variación anual;2012;-4,2
03005 Albatera;Variación anual;2011;..
03009 Alcoi/Alcoy;Índice;2023;116,556
03009 Alcoi/Alcoy;Índice;2022;113,703
03009 Alcoi/Alcoy;Índice;2021;110,895
03009 Alcoi/Alcoy;Índice;2020;108,002
03009 Alcoi/Alcoy;Índice;2019;107,491
03009 Alcoi/Alcoy;Índice;2018;105,297
03009 Alcoi/Alcoy;Índice;2017;102,967
03009 Alcoi/Alcoy;Índice;2016;101,585
03009 Alcoi/Alcoy;Índice;2015;100
03009 Alcoi/Alcoy;Índice;2014;99,911
03009 Alcoi/Alcoy;Índice;2013;100,711
03009 Alcoi/Alcoy;Índice;2012;103,904
03009 Alcoi/Alcoy;Índice;2011;105,219
03009 Alcoi/Alcoy;Variación anual;2023;2,5
03009 Alcoi/Alcoy;Variación anual;2022;2,5
03009 Alcoi/Alcoy;Variación anual;2021;2,7
03009 Alcoi/Alcoy;Variación anual;2020;0,5
03009 Alcoi/Alcoy;Variación anual;2019;2,1
03009 Alcoi/Alcoy;Variación anual;2018;2,3
03009 Alcoi/Alcoy;Variación anual;2017;1,4
03009 Alcoi/Alcoy;Variación anual;2016;1,6
03009 Alcoi/Alcoy;Variación anual;2015;0,1
