Municipio;Tipo de dato;Periodo;Total
08088 Garriga, La;Variación anual;2017;1,1
08088 Garriga, La;Variación anual;2016;0,5
08088 Garriga, La;Variación anual;2015;1,4
08088 Garriga, La;Variación anual;2014;-0,6
08088 Garriga, La;Variación anual;2013;-3,1
08088 Garriga, La;Variación anual;2012;-2,6
08088 Garriga, La;Variación anual;2011;..
08089 Gavà;Índice;2023;119,374
08089 Gavà;Índice;2022;116,296
08089 Gavà;Índice;2021;114,715
08089 Gavà;Índice;2020;112,941
08089 Gavà;Índice;2019;111,696
08089 Gavà;Índice;2018;108,299
08089 Gavà;Índice;2017;104,631
08089 Gavà;Índice;2016;103,222
08089 Gavà;Índice;2015;100
08089 Gavà;Índice;2014;99,95
08089 Gavà;Índice;2013;99,818
08089 Gavà;Índice;2012;100,999
08089 Gavà;Índice;2011;103,394
08089 Gavà;Variación anual;2023;2,6
08089 Gavà;Variación anual;2022;1,4
08089 Gavà;Variación anual;2021;1,6
08089 Gavà;Variación anual;2020;1,1
08089 Gavà;Variación anual;2019;3,1
08089 Gavà;Variación anual;2018;3,5
08089 Gavà;Variación anual;2017;1,4
08089 Gavà;Variación anual;2016;3,2
08089 Gavà;Variación anual;2015;0
08089 Gavà;Variación anual;2014;0,1
08089 Gavà;Variación anual;2013;-1,2
08089 Gavà;Variación anual;2012;-2,3
08089 Gavà;Variación anual;2011;..
08096 Granollers;Índice;2023;123,973
08096 Granollers;Índice;2022;120,94
08096 Granollers;Índice;2021;117,933
08096 Granollers;Índice;2020;115,744
08096 Granollers;Índice;2019;113,284
08096 Granollers;Índice;2018;108,095
08096 Granollers;Índice;2017;104,081
08096 Granollers;Índice;2016;101,716
08096 Granollers;Índice;2015;100
08096 Granollers;Índice;2014;99,693
08096 Granollers;Índice;2013;101,971
08096 Granollers;Índice;2012;104,772
08096 Granollers;Índice;2011;107,164
08096 Granollers;Variación anual;2023;2,5
08096 Granollers;Variación anual;2022;2,5
08096 Granollers;Variación anual;2021;1,9
08096 Granollers;Variación anual;2020;2,2
08096 Granollers;Variación anual;2019;4,8
08096 Granollers;Variación anual;2018;3,9
08096 Granollers;Variación anual;2017;2,3
08096 Granollers;Variación anual;2016;1,7
08096 Granollers;Variación anual;2015;0,3
08096 Granollers;Variación anual;2014;-2,2
08096 Granollers;Variación anual;2013;-2,7
08096 Granollers;Variación anual;2012;-2,2
08096 Granollers;Variación anual;2011;..
08101 Hospitalet de Llobregat, L';Índice;2023;122,545
08101 Hospitalet de Llobregat, L';Índice;2022;119,459
08101 Hospitalet de Llobregat, L';Índice;2021;116,997
08101 Hospitalet de Llobregat, L';Índice;2020;115,251
08101 Hospitalet de Llobregat, L';Índice;2019;113,532
08101 Hospitalet de Llobregat, L';Índice;2018;108,364
08101 Hospitalet de Llobregat, L';Índice;2017;104,207
08101 Hospitalet de Llobregat, L';Índice;2016;101,89
08101 Hospitalet de Llobregat, L';Índice;2015;100
08101 Hospitalet de Llobregat, L';Índice;2014;100,041
08101 Hospitalet de Llobregat, L';Índice;2013;102,018
08101 Hospitalet de Llobregat, L';Índice;2012;106,226
08101 Hospitalet de Llobregat, L';Índice;2011;108,848
08101 Hospitalet de Llobregat, L';Variación anual;2023;2,6
08101 Hospitalet de Llobregat, L';Variación anual;2022;2,1
08101 Hospitalet de Llobregat, L';Variación anual;2021;1,5
08101 Hospitalet de Llobregat, L';Variación anual;2020;1,5
08101 Hospitalet de Llobregat, L';Variación anual;2019;4,8
08101 Hospitalet de Llobregat, L';Variación anual;2018;4
08101 Hospitalet de Llobregat, L';Variación anual;2017;2,3
08101 Hospitalet de Llobregat, L';Variación anual;2016;1,9
08101 Hospitalet de Llobregat, L';Variación anual;2015;0
08101 Hospitalet de Llobregat, L';Variación anual;2014;-1,9
08101 Hospitalet de Llobregat, L';Variación anual;2013;-4
08101 Hospitalet de Llobregat, L';Variación anual;2012;-2,4
08101 Hospitalet de Llobregat, L';Variación anual;2011;..
08102 Igualada;Índice;2023;122,562
08102 Igualada;Índice;2022;118,834
08102 Igualada;Índice;2021;115,258
08102 Igualada;Índice;2020;113,142
08102 Igualada;Índice;2019;110,335
08102 Igualada;Índice;2018;106,233
08102 Igualada;Índice;2017;102,844
08102 Igualada;Índice;2016;100,596
08102 Igualada;Índice;2015;100
08102 Igualada;Índice;2014;98,762
08102 Igualada;Índice;2013;100,534
08102 Igualada;Índice;2012;103,144
08102 Igualada;Índice;2011;105,219
08102 Igualada;Variación anual;2023;3,1
08102 Igualada;Variación anual;2022;3,1
08102 Igualada;Variación anual;2021;1,9
08102 Igualada;Variación anual;2020;2,5
08102 Igualada;Variación anual;2019;3,9
08102 Igualada;Variación anual;2018;3,3
08102 Igualada;Variación anual;2017;2,2
08102 Igualada;Variación anual;2016;0,6
08102 Igualada;Variación anual;2015;1,3
08102 Igualada;Variación anual;2014;-1,8
08102 Igualada;Variación anual;2013;-2,5
08102 Igualada;Variación anual;2012;-2
08102 Igualada;Variación anual;2011;..
08105 Llagosta, La;Índice;2023;118,104
08105 Llagosta, La;Índice;2022;116,516
08105 Llagosta, La;Índice;2021;112,289
08105 Llagosta, La;Índice;2020;109,897
08105 Llagosta, La;Índice;2019;107,646
08105 Llagosta, La;Índice;2018;104,483
08105 Llagosta, La;Índice;2017;102,281
08105 Llagosta, La;Índice;2016;100,114
08105 Llagosta, La;Índice;2015;100
08105 Llagosta, La;Índice;2014;100,64
08105 Llagosta, La;Índice;2013;102,847
08105 Llagosta, La;Índice;2012;105,578
08105 Llagosta, La;Índice;2011;106,083
08105 Llagosta, La;Variación anual;2023;1,4
08105 Llagosta, La;Variación anual;2022;3,8
08105 Llagosta, La;Variación anual;2021;2,2
08105 Llagosta, La;Variación anual;2020;2,1
08105 Llagosta, La;Variación anual;2019;3
08105 Llagosta, La;Variación anual;2018;2,2
08105 Llagosta, La;Variación anual;2017;2,2
08105 Llagosta, La;Variación anual;2016;0,1
08105 Llagosta, La;Variación anual;2015;-0,6
08105 Llagosta, La;Variación anual;2014;-2,1
08105 Llagosta, La;Variación anual;2013;-2,6
08105 Llagosta, La;Variación anual;2012;-0,5
08105 Llagosta, La;Variación anual;2011;..
08106 Llinars del Vallès;Índice;2023;120,751
08106 Llinars del Vallès;Índice;2022;118,685
08106 Llinars del Vallès;Índice;2021;114,483
08106 Llinars del Vallès;Índice;2020;110,08
08106 Llinars del Vallès;Índice;2019;108,32
08106 Llinars del Vallès;Índice;2018;106,551
08106 Llinars del Vallès;Índice;2017;103,841
08106 Llinars del Vallès;Índice;2016;102,939
08106 Llinars del Vallès;Índice;2015;100
08106 Llinars del Vallès;Índice;2014;101,566
08106 Llinars del Vallès;Índice;2013;103,774
08106 Llinars del Vallès;Índice;2012;104,885
08106 Llinars del Vallès;Índice;2011;107,44
08106 Llinars del Vallès;Variación anual;2023;1,7
08106 Llinars del Vallès;Variación anual;2022;3,7
08106 Llinars del Vallès;Variación anual;2021;4
08106 Llinars del Vallès;Variación anual;2020;1,6
08106 Llinars del Vallès;Variación anual;2019;1,7
08106 Llinars del Vallès;Variación anual;2018;2,6
08106 Llinars del Vallès;Variación anual;2017;0,9
08106 Llinars del Vallès;Variación anual;2016;2,9
08106 Llinars del Vallès;Variación anual;2015;-1,5
08106 Llinars del Vallès;Variación anual;2014;-2,1
08106 Llinars del Vallès;Variación anual;2013;-1,1
08106 Llinars del Vallès;Variación anual;2012;-2,4
08106 Llinars del Vallès;Variación anual;2011;..
08107 Lliçà d'Amunt;Índice;2023;120,022
08107 Lliçà d'Amunt;Índice;2022;119,146
08107 Lliçà d'Amunt;Índice;2021;115,987
08107 Lliçà d'Amunt;Índice;2020;114,324
08107 Lliçà d'Amunt;Índice;2019;112,37
08107 Lliçà d'Amunt;Índice;2018;108,459
08107 Lliçà d'Amunt;Índice;2017;105,911
08107 Lliçà d'Amunt;Índice;2016;102,993
08107 Lliçà d'Amunt;Índice;2015;100
08107 Lliçà d'Amunt;Índice;2014;99,472
08107 Lliçà d'Amunt;Índice;2013;97,415
08107 Lliçà d'Amunt;Índice;2012;99,843
08107 Lliçà d'Amunt;Índice;2011;98,784
08107 Lliçà d'Amunt;Variación anual;2023;0,7
08107 Lliçà d'Amunt;Variación anual;2022;2,7
08107 Lliçà d'Amunt;Variación anual;2021;1,5
08107 Lliçà d'Amunt;Variación anual;2020;1,7
08107 Lliçà d'Amunt;Variación anual;2019;3,6
08107 Lliçà d'Amunt;Variación anual;2018;2,4
08107 Lliçà d'Amunt;Variación anual;2017;2,8
08107 Lliçà d'Amunt;Variación anual;2016;3
08107 Lliçà d'Amunt;Variación anual;2015;0,5
08107 Lliçà d'Amunt;Variación anual;2014;2,1
08107 Lliçà d'Amunt;Variación anual;2013;-2,4
08107 Lliçà d'Amunt;Variación anual;2012;1,1
08107 Lliçà d'Amunt;Variación anual;2011;..
08110 Malgrat de Mar;Índice;2023;116,452
08110 Malgrat de Mar;Índice;2022;113,773
08110 Malgrat de Mar;Índice;2021;111,231
08110 Malgrat de Mar;Índice;2020;108,895
08110 Malgrat de Mar;Índice;2019;107,949
08110 Malgrat de Mar;Índice;2018;104,757
08110 Malgrat de Mar;Índice;2017;102,977
08110 Malgrat de Mar;Índice;2016;101,657
08110 Malgrat de Mar;Índice;2015;100
08110 Malgrat de Mar;Índice;2014;100,597
08110 Malgrat de Mar;Índice;2013;101,894
08110 Malgrat de Mar;Índice;2012;105,371
08110 Malgrat de Mar;Índice;2011;105,464
08110 Malgrat de Mar;Variación anual;2023;2,4
08110 Malgrat de Mar;Variación anual;2022;2,3
08110 Malgrat de Mar;Variación anual;2021;2,1
08110 Malgrat de Mar;Variación anual;2020;0,9
08110 Malgrat de Mar;Variación anual;2019;3
08110 Malgrat de Mar;Variación anual;2018;1,7
08110 Malgrat de Mar;Variación anual;2017;1,3
08110 Malgrat de Mar;Variación anual;2016;1,7
08110 Malgrat de Mar;Variación anual;2015;-0,6
08110 Malgrat de Mar;Variación anual;2014;-1,3
08110 Malgrat de Mar;Variación anual;2013;-3,3
08110 Malgrat de Mar;Variación anual;2012;-0,1
08110 Malgrat de Mar;Variación anual;2011;..
08112 Manlleu;Índice;2023;117,162
08112 Manlleu;Índice;2022;114,673
08112 Manlleu;Índice;2021;112,533
08112 Manlleu;Índice;2020;110,512
08112 Manlleu;Índice;2019;107,917
08112 Manlleu;Índice;2018;104,673
08112 Manlleu;Índice;2017;103,283
08112 Manlleu;Índice;2016;101,516
08112 Manlleu;Índice;2015;100
08112 Manlleu;Índice;2014;99,68
08112 Manlleu;Índice;2013;102,533
08112 Manlleu;Índice;2012;104,855
08112 Manlleu;Índice;2011;107,445
08112 Manlleu;Variación anual;2023;2,2
08112 Manlleu;Variación anual;2022;1,9
08112 Manlleu;Variación anual;2021;1,8
08112 Manlleu;Variación anual;2020;2,4
08112 Manlleu;Variación anual;2019;3,1
08112 Manlleu;Variación anual;2018;1,3
08112 Manlleu;Variación anual;2017;1,7
08112 Manlleu;Variación anual;2016;1,5
08112 Manlleu;Variación anual;2015;0,3
08112 Manlleu;Variación anual;2014;-2,8
08112 Manlleu;Variación anual;2013;-2,2
08112 Manlleu;Variación anual;2012;-2,4
08112 Manlleu;Variación anual;2011;..
08113 Manresa;Índice;2023;119,398
08113 Manresa;Índice;2022;116,053
08113 Manresa;Índice;2021;112,873
08113 Manresa;Índice;2020;111,323
08113 Manresa;Índice;2019;109,097
08113 Manresa;Índice;2018;105,242
08113 Manresa;Índice;2017;102,22
08113 Manresa;Índice;2016;100,45
08113 Manresa;Índice;2015;100
08113 Manresa;Índice;2014;100,665
08113 Manresa;Índice;2013;102,457
08113 Manresa;Índice;2012;105,305
08113 Manresa;Índice;2011;108,212
08113 Manresa;Variación anual;2023;2,9
08113 Manresa;Variación anual;2022;2,8
08113 Manresa;Variación anual;2021;1,4
08113 Manresa;Variación anual;2020;2
08113 Manresa;Variación anual;2019;3,7
08113 Manresa;Variación anual;2018;3
08113 Manresa;Variación anual;2017;1,8
08113 Manresa;Variación anual;2016;0,5
08113 Manresa;Variación anual;2015;-0,7
08113 Manresa;Variación anual;2014;-1,7
08113 Manresa;Variación anual;2013;-2,7
08113 Manresa;Variación anual;2012;-2,7
08113 Manresa;Variación anual;2011;..
08114 Martorell;Índice;2023;119,765
08114 Martorell;Índice;2022;117,793
08114 Martorell;Índice;2021;115,489
08114 Martorell;Índice;2020;113,137
08114 Martorell;Índice;2019;111,51
08114 Martorell;Índice;2018;107,542
08114 Martorell;Índice;2017;103,518
08114 Martorell;Índice;2016;101,261
08114 Martorell;Índice;2015;100
08114 Martorell;Índice;2014;99,997
08114 Martorell;Índice;2013;100,71
08114 Martorell;Índice;2012;104,082
08114 Martorell;Índice;2011;108,006
08114 Martorell;Variación anual;2023;1,7
08114 Martorell;Variación anual;2022;2
08114 Martorell;Variación anual;2021;2,1
08114 Martorell;Variación anual;2020;1,5
08114 Martorell;Variación anual;2019;3,7
08114 Martorell;Variación anual;2018;3,9
08114 Martorell;Variación anual;2017;2,2
08114 Martorell;Variación anual;2016;1,3
08114 Martorell;Variación anual;2015;0
08114 Martorell;Variación anual;2014;-0,7
08114 Martorell;Variación anual;2013;-3,2
08114 Martorell;Variación anual;2012;-3,6
08114 Martorell;Variación anual;2011;..
08118 Masnou, El;Índice;2023;118,97
08118 Masnou, El;Índice;2022;115,892
08118 Masnou, El;Índice;2021;112,856
08118 Masnou, El;Índice;2020;110,609
08118 Masnou, El;Índice;2019;109,333
08118 Masnou, El;Índice;2018;105,802
08118 Masnou, El;Índice;2017;102,449
08118 Masnou, El;Índice;2016;101,942
08118 Masnou, El;Índice;2015;100
08118 Masnou, El;Índice;2014;99,531
08118 Masnou, El;Índice;2013;100,457
08118 Masnou, El;Índice;2012;102,353
08118 Masnou, El;Índice;2011;103,996
08118 Masnou, El;Variación anual;2023;2,7
08118 Masnou, El;Variación anual;2022;2,7
08118 Masnou, El;Variación anual;2021;2
08118 Masnou, El;Variación anual;2020;1,2
08118 Masnou, El;Variación anual;2019;3,3
08118 Masnou, El;Variación anual;2018;3,3
08118 Masnou, El;Variación anual;2017;0,5
08118 Masnou, El;Variación anual;2016;1,9
08118 Masnou, El;Variación anual;2015;0,5
08118 Masnou, El;Variación anual;2014;-0,9
08118 Masnou, El;Variación anual;2013;-1,9
08118 Masnou, El;Variación anual;2012;-1,6
08118 Masnou, El;Variación anual;2011;..
08121 Mataró;Índice;2023;119,407
08121 Mataró;Índice;2022;116,816
08121 Mataró;Índice;2021;114,529
08121 Mataró;Índice;2020;112,366
08121 Mataró;Índice;2019;110,318
08121 Mataró;Índice;2018;106,518
08121 Mataró;Índice;2017;103,762
08121 Mataró;Índice;2016;101,716
08121 Mataró;Índice;2015;100
08121 Mataró;Índice;2014;100,134
08121 Mataró;Índice;2013;101,351
08121 Mataró;Índice;2012;105,229
08121 Mataró;Índice;2011;108,314
08121 Mataró;Variación anual;2023;2,2
08121 Mataró;Variación anual;2022;2
08121 Mataró;Variación anual;2021;1,9
08121 Mataró;Variación anual;2020;1,9
08121 Mataró;Variación anual;2019;3,6
08121 Mataró;Variación anual;2018;2,7
08121 Mataró;Variación anual;2017;2
08121 Mataró;Variación anual;2016;1,7
08121 Mataró;Variación anual;2015;-0,1
08121 Mataró;Variación anual;2014;-1,2
08121 Mataró;Variación anual;2013;-3,7
08121 Mataró;Variación anual;2012;-2,8
08121 Mataró;Variación anual;2011;..
08123 Molins de Rei;Índice;2023;118,843
08123 Molins de Rei;Índice;2022;116,893
08123 Molins de Rei;Índice;2021;114,461
08123 Molins de Rei;Índice;2020;112,316
08123 Molins de Rei;Índice;2019;109,913
08123 Molins de Rei;Índice;2018;107,177
08123 Molins de Rei;Índice;2017;103,734
08123 Molins de Rei;Índice;2016;101,983
08123 Molins de Rei;Índice;2015;100
08123 Molins de Rei;Índice;2014;99,382
08123 Molins de Rei;Índice;2013;100,57
08123 Molins de Rei;Índice;2012;102,387
08123 Molins de Rei;Índice;2011;105,289
08123 Molins de Rei;Variación anual;2023;1,7
08123 Molins de Rei;Variación anual;2022;2,1
08123 Molins de Rei;Variación anual;2021;1,9
08123 Molins de Rei;Variación anual;2020;2,2
08123 Molins de Rei;Variación anual;2019;2,6
08123 Molins de Rei;Variación anual;2018;3,3
08123 Molins de Rei;Variación anual;2017;1,7
08123 Molins de Rei;Variación anual;2016;2
08123 Molins de Rei;Variación anual;2015;0,6
08123 Molins de Rei;Variación anual;2014;-1,2
08123 Molins de Rei;Variación anual;2013;-1,8
08123 Molins de Rei;Variación anual;2012;-2,8
08123 Molins de Rei;Variación anual;2011;..
08124 Mollet del Vallès;Índice;2023;121,946
08124 Mollet del Vallès;Índice;2022;119,146
08124 Mollet del Vallès;Índice;2021;116,921
08124 Mollet del Vallès;Índice;2020;114,501
08124 Mollet del Vallès;Índice;2019;112,281
08124 Mollet del Vallès;Índice;2018;107,991
08124 Mollet del Vallès;Índice;2017;104,593
08124 Mollet del Vallès;Índice;2016;101,348
08124 Mollet del Vallès;Índice;2015;100
08124 Mollet del Vallès;Índice;2014;100,044
08124 Mollet del Vallès;Índice;2013;100,727
08124 Mollet del Vallès;Índice;2012;104,68
08124 Mollet del Vallès;Índice;2011;107,726
08124 Mollet del Vallès;Variación anual;2023;2,4
08124 Mollet del Vallès;Variación anual;2022;1,9
08124 Mollet del Vallès;Variación anual;2021;2,1
08124 Mollet del Vallès;Variación anual;2020;2
08124 Mollet del Vallès;Variación anual;2019;4
08124 Mollet del Vallès;Variación anual;2018;3,2
08124 Mollet del Vallès;Variación anual;2017;3,2
08124 Mollet del Vallès;Variación anual;2016;1,3
08124 Mollet del Vallès;Variación anual;2015;0
08124 Mollet del Vallès;Variación anual;2014;-0,7
08124 Mollet del Vallès;Variación anual;2013;-3,8
08124 Mollet del Vallès;Variación anual;2012;-2,8
08124 Mollet del Vallès;Variación anual;2011;..
08125 Montcada i Reixac;Índice;2023;117,967
08125 Montcada i Reixac;Índice;2022;116,116
08125 Montcada i Reixac;Índice;2021;113,344
08125 Montcada i Reixac;Índice;2020;111,325
08125 Montcada i Reixac;Índice;2019;109,485
08125 Montcada i Reixac;Índice;2018;105,528
08125 Montcada i Reixac;Índice;2017;104,545
08125 Montcada i Reixac;Índice;2016;101,787
08125 Montcada i Reixac;Índice;2015;100
08125 Montcada i Reixac;Índice;2014;97,324
08125 Montcada i Reixac;Índice;2013;98,829
08125 Montcada i Reixac;Índice;2012;101,341
08125 Montcada i Reixac;Índice;2011;104,571
08125 Montcada i Reixac;Variación anual;2023;1,6
08125 Montcada i Reixac;Variación anual;2022;2,4
08125 Montcada i Reixac;Variación anual;2021;1,8
08125 Montcada i Reixac;Variación anual;2020;1,7
08125 Montcada i Reixac;Variación anual;2019;3,7
08125 Montcada i Reixac;Variación anual;2018;0,9
08125 Montcada i Reixac;Variación anual;2017;2,7
08125 Montcada i Reixac;Variación anual;2016;1,8
08125 Montcada i Reixac;Variación anual;2015;2,7
08125 Montcada i Reixac;Variación anual;2014;-1,5
08125 Montcada i Reixac;Variación anual;2013;-2,5
08125 Montcada i Reixac;Variación anual;2012;-3,1
08125 Montcada i Reixac;Variación anual;2011;..
08126 Montgat;Índice;2023;115,996
08126 Montgat;Índice;2022;113,751
08126 Montgat;Índice;2021;111,282
08126 Montgat;Índice;2020;110,338
08126 Montgat;Índice;2019;109,978
08126 Montgat;Índice;2018;106,338
08126 Montgat;Índice;2017;103,181
08126 Montgat;Índice;2016;101,456
08126 Montgat;Índice;2015;100
08126 Montgat;Índice;2014;99,308
08126 Montgat;Índice;2013;99,216
08126 Montgat;Índice;2012;100,503
08126 Montgat;Índice;2011;100,662
08126 Montgat;Variación anual;2023;2
08126 Montgat;Variación anual;2022;2,2
08126 Montgat;Variación anual;2021;0,9
08126 Montgat;Variación anual;2020;0,3
08126 Montgat;Variación anual;2019;3,4
08126 Montgat;Variación anual;2018;3,1
08126 Montgat;Variación anual;2017;1,7
08126 Montgat;Variación anual;2016;1,5
08126 Montgat;Variación anual;2015;0,7
08126 Montgat;Variación anual;2014;0,1
08126 Montgat;Variación anual;2013;-1,3
08126 Montgat;Variación anual;2012;-0,2
08126 Montgat;Variación anual;2011;..
08136 Montornès del Vallès;Índice;2023;118,479
08136 Montornès del Vallès;Índice;2022;115,649
08136 Montornès del Vallès;Índice;2021;113,303
08136 Montornès del Vallès;Índice;2020;111,29
08136 Montornès del Vallès;Índice;2019;108,004
08136 Montornès del Vallès;Índice;2018;104,413
08136 Montornès del Vallès;Índice;2017;101,688
08136 Montornès del Vallès;Índice;2016;100,431
08136 Montornès del Vallès;Índice;2015;100
08136 Montornès del Vallès;Índice;2014;99,519
08136 Montornès del Vallès;Índice;2013;100,965
08136 Montornès del Vallès;Índice;2012;103,908
08136 Montornès del Vallès;Índice;2011;104,937
08136 Montornès del Vallès;Variación anual;2023;2,4
08136 Montornès del Vallès;Variación anual;2022;2,1
08136 Montornès del Vallès;Variación anual;2021;1,8
08136 Montornès del Vallès;Variación anual;2020;3
08136 Montornès del Vallès;Variación anual;2019;3,4
08136 Montornès del Vallès;Variación anual;2018;2,7
08136 Montornès del Vallès;Variación anual;2017;1,3
08136 Montornès del Vallès;Variación anual;2016;0,4
08136 Montornès del Vallès;Variación anual;2015;0,5
08136 Montornès del Vallès;Variación anual;2014;-1,4
08136 Montornès del Vallès;Variación anual;2013;-2,8
08136 Montornès del Vallès;Variación anual;2012;-1
08136 Montornès del Vallès;Variación anual;2011;..
08147 Olesa de Montserrat;Índice;2023;121,486
08147 Olesa de Montserrat;Índice;2022;117,778
08147 Olesa de Montserrat;Índice;2021;115,443
08147 Olesa de Montserrat;Índice;2020;114,144
08147 Olesa de Montserrat;Índice;2019;111,163
08147 Olesa de Montserrat;Índice;2018;107,231
08147 Olesa de Montserrat;Índice;2017;102,792
08147 Olesa de Montserrat;Índice;2016;101,781
08147 Olesa de Montserrat;Índice;2015;100
08147 Olesa de Montserrat;Índice;2014;99,458
08147 Olesa de Montserrat;Índice;2013;101,293
08147 Olesa de Montserrat;Índice;2012;105,085
08147 Olesa de Montserrat;Índice;2011;106,782
08147 Olesa de Montserrat;Variación anual;2023;3,1
08147 Olesa de Montserrat;Variación anual;2022;2
08147 Olesa de Montserrat;Variación anual;2021;1,1
08147 Olesa de Montserrat;Variación anual;2020;2,7
08147 Olesa de Montserrat;Variación anual;2019;3,7
08147 Olesa de Montserrat;Variación anual;2018;4,3
08147 Olesa de Montserrat;Variación anual;2017;1
08147 Olesa de Montserrat;Variación anual;2016;1,8
08147 Olesa de Montserrat;Variación anual;2015;0,5
08147 Olesa de Montserrat;Variación anual;2014;-1,8
08147 Olesa de Montserrat;Variación anual;2013;-3,6
08147 Olesa de Montserrat;Variación anual;2012;-1,6
08147 Olesa de Montserrat;Variación anual;2011;..
08156 Palau-solità i Plegamans;Índice;2023;122,171
08156 Palau-solità i Plegamans;Índice;2022;118,935
08156 Palau-solità i Plegamans;Índice;2021;115,4
08156 Palau-solità i Plegamans;Índice;2020;112,658
08156 Palau-solità i Plegamans;Índice;2019;110,152
08156 Palau-solità i Plegamans;Índice;2018;108,547
08156 Palau-solità i Plegamans;Índice;2017;103,342
08156 Palau-solità i Plegamans;Índice;2016;101,469
08156 Palau-solità i Plegamans;Índice;2015;100
08156 Palau-solità i Plegamans;Índice;2014;100,067
08156 Palau-solità i Plegamans;Índice;2013;98,378
08156 Palau-solità i Plegamans;Índice;2012;102,068
08156 Palau-solità i Plegamans;Índice;2011;102,629
08156 Palau-solità i Plegamans;Variación anual;2023;2,7
08156 Palau-solità i Plegamans;Variación anual;2022;3,1
08156 Palau-solità i Plegamans;Variación anual;2021;2,4
08156 Palau-solità i Plegamans;Variación anual;2020;2,3
08156 Palau-solità i Plegamans;Variación anual;2019;1,5
08156 Palau-solità i Plegamans;Variación anual;2018;5
08156 Palau-solità i Plegamans;Variación anual;2017;1,8
08156 Palau-solità i Plegamans;Variación anual;2016;1,5
08156 Palau-solità i Plegamans;Variación anual;2015;-0,1
08156 Palau-solità i Plegamans;Variación anual;2014;1,7
08156 Palau-solità i Plegamans;Variación anual;2013;-3,6
08156 Palau-solità i Plegamans;Variación anual;2012;-0,5
08156 Palau-solità i Plegamans;Variación anual;2011;..
08157 Pallejà;Índice;2023;113,683
08157 Pallejà;Índice;2022;111,143
08157 Pallejà;Índice;2021;109,212
08157 Pallejà;Índice;2020;107,38
08157 Pallejà;Índice;2019;106,032
08157 Pallejà;Índice;2018;103,2
08157 Pallejà;Índice;2017;100,893
08157 Pallejà;Índice;2016;100,296
08157 Pallejà;Índice;2015;100
08157 Pallejà;Índice;2014;100,742
08157 Pallejà;Índice;2013;101,974
08157 Pallejà;Índice;2012;104,859
08157 Pallejà;Índice;2011;104,372
08157 Pallejà;Variación anual;2023;2,3
08157 Pallejà;Variación anual;2022;1,8
08157 Pallejà;Variación anual;2021;1,7
08157 Pallejà;Variación anual;2020;1,3
08157 Pallejà;Variación anual;2019;2,7
08157 Pallejà;Variación anual;2018;2,3
08157 Pallejà;Variación anual;2017;0,6
08157 Pallejà;Variación anual;2016;0,3
08157 Pallejà;Variación anual;2015;-0,7
08157 Pallejà;Variación anual;2014;-1,2
08157 Pallejà;Variación anual;2013;-2,8
08157 Pallejà;Variación anual;2012;0,5
08157 Pallejà;Variación anual;2011;..
08159 Parets del Vallès;Índice;2023;119,189
08159 Parets del Vallès;Índice;2022;116,114
08159 Parets del Vallès;Índice;2021;113,519
08159 Parets del Vallès;Índice;2020;111,76
08159 Parets del Vallès;Índice;2019;109,649
08159 Parets del Vallès;Índice;2018;105,873
08159 Parets del Vallès;Índice;2017;103,375
08159 Parets del Vallès;Índice;2016;101,024
08159 Parets del Vallès;Índice;2015;100
08159 Parets del Vallès;Índice;2014;98,634
08159 Parets del Vallès;Índice;2013;100,019
08159 Parets del Vallès;Índice;2012;103,636
08159 Parets del Vallès;Índice;2011;106,294
08159 Parets del Vallès;Variación anual;2023;2,6
08159 Parets del Vallès;Variación anual;2022;2,3
08159 Parets del Vallès;Variación anual;2021;1,6
08159 Parets del Vallès;Variación anual;2020;1,9
08159 Parets del Vallès;Variación anual;2019;3,6
08159 Parets del Vallès;Variación anual;2018;2,4
08159 Parets del Vallès;Variación anual;2017;2,3
08159 Parets del Vallès;Variación anual;2016;1
08159 Parets del Vallès;Variación anual;2015;1,4
08159 Parets del Vallès;Variación anual;2014;-1,4
08159 Parets del Vallès;Variación anual;2013;-3,5
08159 Parets del Vallès;Variación anual;2012;-2,5
08159 Parets del Vallès;Variación anual;2011;..
08161 Piera;Índice;2023;117,359
08161 Piera;Índice;2022;114,641
08161 Piera;Índice;2021;111,554
08161 Piera;Índice;2020;110,602
08161 Piera;Índice;2019;109,155
08161 Piera;Índice;2018;103,743
08161 Piera;Índice;2017;102,029
08161 Piera;Índice;2016;100,736
08161 Piera;Índice;2015;100
08161 Piera;Índice;2014;99,852
08161 Piera;Índice;2013;100,554
08161 Piera;Índice;2012;103,938
08161 Piera;Índice;2011;104,475
08161 Piera;Variación anual;2023;2,4
08161 Piera;Variación anual;2022;2,8
08161 Piera;Variación anual;2021;0,9
08161 Piera;Variación anual;2020;1,3
08161 Piera;Variación anual;2019;5,2
08161 Piera;Variación anual;2018;1,7
08161 Piera;Variación anual;2017;1,3
08161 Piera;Variación anual;2016;0,7
08161 Piera;Variación anual;2015;0,1
08161 Piera;Variación anual;2014;-0,7
08161 Piera;Variación anual;2013;-3,3
08161 Piera;Variación anual;2012;-0,5
08161 Piera;Variación anual;2011;..
08163 Pineda de Mar;Índice;2023;115,117
08163 Pineda de Mar;Índice;2022;113,06
08163 Pineda de Mar;Índice;2021;110,234
08163 Pineda de Mar;Índice;2020;107,808
08163 Pineda de Mar;Índice;2019;106,511
08163 Pineda de Mar;Índice;2018;103,623
