Total Nacional;Comunidades y Ciudades Autónomas;Tamaño de la vivienda;Tipo de dato;Periodo;Total
Total Nacional;;(60-75];Variación anual;2012;-1,7
Total Nacional;;(60-75];Variación anual;2011;..
Total Nacional;;(75-90];Índice;2023;118,702
Total Nacional;;(75-90];Índice;2022;115,746
Total Nacional;;(75-90];Índice;2021;112,77
Total Nacional;;(75-90];Índice;2020;110,944
Total Nacional;;(75-90];Índice;2019;109,897
Total Nacional;;(75-90];Índice;2018;106,096
Total Nacional;;(75-90];Índice;2017;103,422
Total Nacional;;(75-90];Índice;2016;101,673
Total Nacional;;(75-90];Índice;2015;100
Total Nacional;;(75-90];Índice;2014;99,947
Total Nacional;;(75-90];Índice;2013;100,78
Total Nacional;;(75-90];Índice;2012;103,618
Total Nacional;;(75-90];Índice;2011;105,194
Total Nacional;;(75-90];Variación anual;2023;2,6
Total Nacional;;(75-90];Variación anual;2022;2,6
Total Nacional;;(75-90];Variación anual;2021;1,6
Total Nacional;;(75-90];Variación anual;2020;1
Total Nacional;;(75-90];Variación anual;2019;3,6
Total Nacional;;(75-90];Variación anual;2018;2,6
Total Nacional;;(75-90];Variación anual;2017;1,7
Total Nacional;;(75-90];Variación anual;2016;1,7
Total Nacional;;(75-90];Variación anual;2015;0,1
Total Nacional;;(75-90];Variación anual;2014;-0,8
Total Nacional;;(75-90];Variación anual;2013;-2,7
Total Nacional;;(75-90];Variación anual;2012;-1,5
Total Nacional;;(75-90];Variación anual;2011;..
Total Nacional;;(90-120];Índice;2023;117,713
Total Nacional;;(90-120];Índice;2022;114,788
Total Nacional;;(90-120];Índice;2021;111,88
Total Nacional;;(90-120];Índice;2020;109,965
Total Nacional;;(90-120];Índice;2019;109,094
Total Nacional;;(90-120];Índice;2018;105,596
Total Nacional;;(90-120];Índice;2017;103,145
Total Nacional;;(90-120];Índice;2016;101,543
Total Nacional;;(90-120];Índice;2015;100
Total Nacional;;(90-120];Índice;2014;99,86
Total Nacional;;(90-120];Índice;2013;100,454
Total Nacional;;(90-120];Índice;2012;102,741
Total Nacional;;(90-120];Índice;2011;104,248
Total Nacional;;(90-120];Variación anual;2023;2,5
Total Nacional;;(90-120];Variación anual;2022;2,6
Total Nacional;;(90-120];Variación anual;2021;1,7
Total Nacional;;(90-120];Variación anual;2020;0,8
Total Nacional;;(90-120];Variación anual;2019;3,3
Total Nacional;;(90-120];Variación anual;2018;2,4
Total Nacional;;(90-120];Variación anual;2017;1,6
Total Nacional;;(90-120];Variación anual;2016;1,5
Total Nacional;;(90-120];Variación anual;2015;0,1
Total Nacional;;(90-120];Variación anual;2014;-0,6
Total Nacional;;(90-120];Variación anual;2013;-2,2
Total Nacional;;(90-120];Variación anual;2012;-1,4
Total Nacional;;(90-120];Variación anual;2011;..
Total Nacional;;(120-150];Índice;2023;116,28
Total Nacional;;(120-150];Índice;2022;113,482
Total Nacional;;(120-150];Índice;2021;110,558
Total Nacional;;(120-150];Índice;2020;108,667
Total Nacional;;(120-150];Índice;2019;108,061
Total Nacional;;(120-150];Índice;2018;105,219
Total Nacional;;(120-150];Índice;2017;102,974
Total Nacional;;(120-150];Índice;2016;101,438
Total Nacional;;(120-150];Índice;2015;100
Total Nacional;;(120-150];Índice;2014;99,741
Total Nacional;;(120-150];Índice;2013;99,857
Total Nacional;;(120-150];Índice;2012;101,836
Total Nacional;;(120-150];Índice;2011;102,754
Total Nacional;;(120-150];Variación anual;2023;2,5
Total Nacional;;(120-150];Variación anual;2022;2,6
Total Nacional;;(120-150];Variación anual;2021;1,7
Total Nacional;;(120-150];Variación anual;2020;0,6
Total Nacional;;(120-150];Variación anual;2019;2,7
Total Nacional;;(120-150];Variación anual;2018;2,2
Total Nacional;;(120-150];Variación anual;2017;1,5
Total Nacional;;(120-150];Variación anual;2016;1,4
Total Nacional;;(120-150];Variación anual;2015;0,3
Total Nacional;;(120-150];Variación anual;2014;-0,1
Total Nacional;;(120-150];Variación anual;2013;-1,9
Total Nacional;;(120-150];Variación anual;2012;-0,9
Total Nacional;;(120-150];Variación anual;2011;..
Total Nacional;;>150;Índice;2023;114,125
Total Nacional;;>150;Índice;2022;111,528
Total Nacional;;>150;Índice;2021;108,364
Total Nacional;;>150;Índice;2020;106,415
Total Nacional;;>150;Índice;2019;106,113
Total Nacional;;>150;Índice;2018;105,158
Total Nacional;;>150;Índice;2017;103,374
Total Nacional;;>150;Índice;2016;101,601
Total Nacional;;>150;Índice;2015;100
Total Nacional;;>150;Índice;2014;98,982
Total Nacional;;>150;Índice;2013;98,818
Total Nacional;;>150;Índice;2012;100,262
Total Nacional;;>150;Índice;2011;101,305
Total Nacional;;>150;Variación anual;2023;2,3
Total Nacional;;>150;Variación anual;2022;2,9
Total Nacional;;>150;Variación anual;2021;1,8
Total Nacional;;>150;Variación anual;2020;0,3
Total Nacional;;>150;Variación anual;2019;0,9
Total Nacional;;>150;Variación anual;2018;1,7
Total Nacional;;>150;Variación anual;2017;1,7
Total Nacional;;>150;Variación anual;2016;1,6
Total Nacional;;>150;Variación anual;2015;1
Total Nacional;;>150;Variación anual;2014;0,2
Total Nacional;;>150;Variación anual;2013;-1,4
Total Nacional;;>150;Variación anual;2012;-1
Total Nacional;;>150;Variación anual;2011;..
Total Nacional;01 Andalucía;Total;Índice;2023;118,53
Total Nacional;01 Andalucía;Total;Índice;2022;115,57
Total Nacional;01 Andalucía;Total;Índice;2021;112,471
Total Nacional;01 Andalucía;Total;Índice;2020;110,374
Total Nacional;01 Andalucía;Total;Índice;2019;109,594
Total Nacional;01 Andalucía;Total;Índice;2018;105,957
Total Nacional;01 Andalucía;Total;Índice;2017;103,593
Total Nacional;01 Andalucía;Total;Índice;2016;101,957
Total Nacional;01 Andalucía;Total;Índice;2015;100
Total Nacional;01 Andalucía;Total;Índice;2014;100,084
Total Nacional;01 Andalucía;Total;Índice;2013;100,689
Total Nacional;01 Andalucía;Total;Índice;2012;103,353
Total Nacional;01 Andalucía;Total;Índice;2011;104,88
Total Nacional;01 Andalucía;Total;Variación anual;2023;2,6
Total Nacional;01 Andalucía;Total;Variación anual;2022;2,8
Total Nacional;01 Andalucía;Total;Variación anual;2021;1,9
Total Nacional;01 Andalucía;Total;Variación anual;2020;0,7
Total Nacional;01 Andalucía;Total;Variación anual;2019;3,4
Total Nacional;01 Andalucía;Total;Variación anual;2018;2,3
Total Nacional;01 Andalucía;Total;Variación anual;2017;1,6
Total Nacional;01 Andalucía;Total;Variación anual;2016;2
Total Nacional;01 Andalucía;Total;Variación anual;2015;-0,1
Total Nacional;01 Andalucía;Total;Variación anual;2014;-0,6
Total Nacional;01 Andalucía;Total;Variación anual;2013;-2,6
Total Nacional;01 Andalucía;Total;Variación anual;2012;-1,5
Total Nacional;01 Andalucía;Total;Variación anual;2011;..
Total Nacional;01 Andalucía;<=60;Índice;2023;122,467
Total Nacional;01 Andalucía;<=60;Índice;2022;118,846
Total Nacional;01 Andalucía;<=60;Índice;2021;115,36
Total Nacional;01 Andalucía;<=60;Índice;2020;113,54
Total Nacional;01 Andalucía;<=60;Índice;2019;112,36
Total Nacional;01 Andalucía;<=60;Índice;2018;107,47
Total Nacional;01 Andalucía;<=60;Índice;2017;104,292
Total Nacional;01 Andalucía;<=60;Índice;2016;101,947
Total Nacional;01 Andalucía;<=60;Índice;2015;100
Total Nacional;01 Andalucía;<=60;Índice;2014;99,684
Total Nacional;01 Andalucía;<=60;Índice;2013;100,657
Total Nacional;01 Andalucía;<=60;Índice;2012;103,76
Total Nacional;01 Andalucía;<=60;Índice;2011;105,482
Total Nacional;01 Andalucía;<=60;Variación anual;2023;3
Total Nacional;01 Andalucía;<=60;Variación anual;2022;3
Total Nacional;01 Andalucía;<=60;Variación anual;2021;1,6
Total Nacional;01 Andalucía;<=60;Variación anual;2020;1
Total Nacional;01 Andalucía;<=60;Variación anual;2019;4,6
Total Nacional;01 Andalucía;<=60;Variación anual;2018;3
Total Nacional;01 Andalucía;<=60;Variación anual;2017;2,3
Total Nacional;01 Andalucía;<=60;Variación anual;2016;1,9
Total Nacional;01 Andalucía;<=60;Variación anual;2015;0,3
Total Nacional;01 Andalucía;<=60;Variación anual;2014;-1
Total Nacional;01 Andalucía;<=60;Variación anual;2013;-3
Total Nacional;01 Andalucía;<=60;Variación anual;2012;-1,6
Total Nacional;01 Andalucía;<=60;Variación anual;2011;..
Total Nacional;01 Andalucía;(60-75];Índice;2023;119,838
Total Nacional;01 Andalucía;(60-75];Índice;2022;116,787
Total Nacional;01 Andalucía;(60-75];Índice;2021;113,391
Total Nacional;01 Andalucía;(60-75];Índice;2020;111,26
Total Nacional;01 Andalucía;(60-75];Índice;2019;110,21
Total Nacional;01 Andalucía;(60-75];Índice;2018;106,034
Total Nacional;01 Andalucía;(60-75];Índice;2017;103,514
Total Nacional;01 Andalucía;(60-75];Índice;2016;101,948
Total Nacional;01 Andalucía;(60-75];Índice;2015;100
Total Nacional;01 Andalucía;(60-75];Índice;2014;100,378
Total Nacional;01 Andalucía;(60-75];Índice;2013;101,096
Total Nacional;01 Andalucía;(60-75];Índice;2012;104,139
Total Nacional;01 Andalucía;(60-75];Índice;2011;105,861
Total Nacional;01 Andalucía;(60-75];Variación anual;2023;2,6
Total Nacional;01 Andalucía;(60-75];Variación anual;2022;3
Total Nacional;01 Andalucía;(60-75];Variación anual;2021;1,9
Total Nacional;01 Andalucía;(60-75];Variación anual;2020;1
Total Nacional;01 Andalucía;(60-75];Variación anual;2019;3,9
Total Nacional;01 Andalucía;(60-75];Variación anual;2018;2,4
Total Nacional;01 Andalucía;(60-75];Variación anual;2017;1,5
Total Nacional;01 Andalucía;(60-75];Variación anual;2016;1,9
Total Nacional;01 Andalucía;(60-75];Variación anual;2015;-0,4
Total Nacional;01 Andalucía;(60-75];Variación anual;2014;-0,7
Total Nacional;01 Andalucía;(60-75];Variación anual;2013;-2,9
Total Nacional;01 Andalucía;(60-75];Variación anual;2012;-1,6
Total Nacional;01 Andalucía;(60-75];Variación anual;2011;..
Total Nacional;01 Andalucía;(75-90];Índice;2023;118,856
Total Nacional;01 Andalucía;(75-90];Índice;2022;115,876
Total Nacional;01 Andalucía;(75-90];Índice;2021;112,74
Total Nacional;01 Andalucía;(75-90];Índice;2020;110,585
Total Nacional;01 Andalucía;(75-90];Índice;2019;109,637
Total Nacional;01 Andalucía;(75-90];Índice;2018;105,823
Total Nacional;01 Andalucía;(75-90];Índice;2017;103,556
Total Nacional;01 Andalucía;(75-90];Índice;2016;102,064
Total Nacional;01 Andalucía;(75-90];Índice;2015;100
Total Nacional;01 Andalucía;(75-90];Índice;2014;100,305
Total Nacional;01 Andalucía;(75-90];Índice;2013;101,198
Total Nacional;01 Andalucía;(75-90];Índice;2012;103,963
Total Nacional;01 Andalucía;(75-90];Índice;2011;105,852
Total Nacional;01 Andalucía;(75-90];Variación anual;2023;2,6
Total Nacional;01 Andalucía;(75-90];Variación anual;2022;2,8
Total Nacional;01 Andalucía;(75-90];Variación anual;2021;1,9
Total Nacional;01 Andalucía;(75-90];Variación anual;2020;0,9
Total Nacional;01 Andalucía;(75-90];Variación anual;2019;3,6
Total Nacional;01 Andalucía;(75-90];Variación anual;2018;2,2
Total Nacional;01 Andalucía;(75-90];Variación anual;2017;1,5
Total Nacional;01 Andalucía;(75-90];Variación anual;2016;2,1
Total Nacional;01 Andalucía;(75-90];Variación anual;2015;-0,3
Total Nacional;01 Andalucía;(75-90];Variación anual;2014;-0,9
Total Nacional;01 Andalucía;(75-90];Variación anual;2013;-2,7
Total Nacional;01 Andalucía;(75-90];Variación anual;2012;-1,8
Total Nacional;01 Andalucía;(75-90];Variación anual;2011;..
Total Nacional;01 Andalucía;(90-120];Índice;2023;117,647
Total Nacional;01 Andalucía;(90-120];Índice;2022;114,806
Total Nacional;01 Andalucía;(90-120];Índice;2021;111,918
Total Nacional;01 Andalucía;(90-120];Índice;2020;109,802
Total Nacional;01 Andalucía;(90-120];Índice;2019;109,201
Total Nacional;01 Andalucía;(90-120];Índice;2018;105,749
Total Nacional;01 Andalucía;(90-120];Índice;2017;103,456
Total Nacional;01 Andalucía;(90-120];Índice;2016;101,994
Total Nacional;01 Andalucía;(90-120];Índice;2015;100
Total Nacional;01 Andalucía;(90-120];Índice;2014;100,301
Total Nacional;01 Andalucía;(90-120];Índice;2013;100,977
Total Nacional;01 Andalucía;(90-120];Índice;2012;103,483
Total Nacional;01 Andalucía;(90-120];Índice;2011;104,804
Total Nacional;01 Andalucía;(90-120];Variación anual;2023;2,5
Total Nacional;01 Andalucía;(90-120];Variación anual;2022;2,6
Total Nacional;01 Andalucía;(90-120];Variación anual;2021;1,9
Total Nacional;01 Andalucía;(90-120];Variación anual;2020;0,6
Total Nacional;01 Andalucía;(90-120];Variación anual;2019;3,3
Total Nacional;01 Andalucía;(90-120];Variación anual;2018;2,2
Total Nacional;01 Andalucía;(90-120];Variación anual;2017;1,4
Total Nacional;01 Andalucía;(90-120];Variación anual;2016;2
Total Nacional;01 Andalucía;(90-120];Variación anual;2015;-0,3
Total Nacional;01 Andalucía;(90-120];Variación anual;2014;-0,7
Total Nacional;01 Andalucía;(90-120];Variación anual;2013;-2,4
Total Nacional;01 Andalucía;(90-120];Variación anual;2012;-1,3
Total Nacional;01 Andalucía;(90-120];Variación anual;2011;..
Total Nacional;01 Andalucía;(120-150];Índice;2023;116,546
Total Nacional;01 Andalucía;(120-150];Índice;2022;113,904
Total Nacional;01 Andalucía;(120-150];Índice;2021;111,223
Total Nacional;01 Andalucía;(120-150];Índice;2020;109,053
Total Nacional;01 Andalucía;(120-150];Índice;2019;108,667
Total Nacional;01 Andalucía;(120-150];Índice;2018;105,409
Total Nacional;01 Andalucía;(120-150];Índice;2017;103,231
Total Nacional;01 Andalucía;(120-150];Índice;2016;101,693
Total Nacional;01 Andalucía;(120-150];Índice;2015;100
Total Nacional;01 Andalucía;(120-150];Índice;2014;100,029
Total Nacional;01 Andalucía;(120-150];Índice;2013;99,973
Total Nacional;01 Andalucía;(120-150];Índice;2012;102,143
Total Nacional;01 Andalucía;(120-150];Índice;2011;103,359
Total Nacional;01 Andalucía;(120-150];Variación anual;2023;2,3
Total Nacional;01 Andalucía;(120-150];Variación anual;2022;2,4
Total Nacional;01 Andalucía;(120-150];Variación anual;2021;2
Total Nacional;01 Andalucía;(120-150];Variación anual;2020;0,4
Total Nacional;01 Andalucía;(120-150];Variación anual;2019;3,1
Total Nacional;01 Andalucía;(120-150];Variación anual;2018;2,1
Total Nacional;01 Andalucía;(120-150];Variación anual;2017;1,5
Total Nacional;01 Andalucía;(120-150];Variación anual;2016;1,7
Total Nacional;01 Andalucía;(120-150];Variación anual;2015;0
Total Nacional;01 Andalucía;(120-150];Variación anual;2014;0,1
Total Nacional;01 Andalucía;(120-150];Variación anual;2013;-2,1
Total Nacional;01 Andalucía;(120-150];Variación anual;2012;-1,2
Total Nacional;01 Andalucía;(120-150];Variación anual;2011;..
Total Nacional;01 Andalucía;>150;Índice;2023;113,317
Total Nacional;01 Andalucía;>150;Índice;2022;111,128
Total Nacional;01 Andalucía;>150;Índice;2021;108,258
Total Nacional;01 Andalucía;>150;Índice;2020;106,015
Total Nacional;01 Andalucía;>150;Índice;2019;105,842
Total Nacional;01 Andalucía;>150;Índice;2018;104,932
Total Nacional;01 Andalucía;>150;Índice;2017;103,586
Total Nacional;01 Andalucía;>150;Índice;2016;101,953
Total Nacional;01 Andalucía;>150;Índice;2015;100
Total Nacional;01 Andalucía;>150;Índice;2014;98,982
Total Nacional;01 Andalucía;>150;Índice;2013;98,601
Total Nacional;01 Andalucía;>150;Índice;2012;100,591
Total Nacional;01 Andalucía;>150;Índice;2011;101,512
Total Nacional;01 Andalucía;>150;Variación anual;2023;2
Total Nacional;01 Andalucía;>150;Variación anual;2022;2,7
Total Nacional;01 Andalucía;>150;Variación anual;2021;2,1
Total Nacional;01 Andalucía;>150;Variación anual;2020;0,2
Total Nacional;01 Andalucía;>150;Variación anual;2019;0,9
Total Nacional;01 Andalucía;>150;Variación anual;2018;1,3
Total Nacional;01 Andalucía;>150;Variación anual;2017;1,6
Total Nacional;01 Andalucía;>150;Variación anual;2016;2
Total Nacional;01 Andalucía;>150;Variación anual;2015;1
Total Nacional;01 Andalucía;>150;Variación anual;2014;0,4
Total Nacional;01 Andalucía;>150;Variación anual;2013;-2
Total Nacional;01 Andalucía;>150;Variación anual;2012;-0,9
Total Nacional;01 Andalucía;>150;Variación anual;2011;..
Total Nacional;02 Aragón;Total;Índice;2023;116,212
Total Nacional;02 Aragón;Total;Índice;2022;113,566
Total Nacional;02 Aragón;Total;Índice;2021;110,742
Total Nacional;02 Aragón;Total;Índice;2020;108,538
Total Nacional;02 Aragón;Total;Índice;2019;107,388
Total Nacional;02 Aragón;Total;Índice;2018;104,198
Total Nacional;02 Aragón;Total;Índice;2017;102,2
Total Nacional;02 Aragón;Total;Índice;2016;101,027
Total Nacional;02 Aragón;Total;Índice;2015;100
Total Nacional;02 Aragón;Total;Índice;2014;100,47
Total Nacional;02 Aragón;Total;Índice;2013;102,008
Total Nacional;02 Aragón;Total;Índice;2012;105,477
Total Nacional;02 Aragón;Total;Índice;2011;107,8
Total Nacional;02 Aragón;Total;Variación anual;2023;2,3
Total Nacional;02 Aragón;Total;Variación anual;2022;2,5
Total Nacional;02 Aragón;Total;Variación anual;2021;2
Total Nacional;02 Aragón;Total;Variación anual;2020;1,1
Total Nacional;02 Aragón;Total;Variación anual;2019;3,1
Total Nacional;02 Aragón;Total;Variación anual;2018;2
Total Nacional;02 Aragón;Total;Variación anual;2017;1,2
Total Nacional;02 Aragón;Total;Variación anual;2016;1
Total Nacional;02 Aragón;Total;Variación anual;2015;-0,5
Total Nacional;02 Aragón;Total;Variación anual;2014;-1,5
Total Nacional;02 Aragón;Total;Variación anual;2013;-3,3
Total Nacional;02 Aragón;Total;Variación anual;2012;-2,2
Total Nacional;02 Aragón;Total;Variación anual;2011;..
Total Nacional;02 Aragón;<=60;Índice;2023;119,059
Total Nacional;02 Aragón;<=60;Índice;2022;116,072
Total Nacional;02 Aragón;<=60;Índice;2021;112,954
Total Nacional;02 Aragón;<=60;Índice;2020;110,483
Total Nacional;02 Aragón;<=60;Índice;2019;109,196
Total Nacional;02 Aragón;<=60;Índice;2018;105,086
Total Nacional;02 Aragón;<=60;Índice;2017;102,804
Total Nacional;02 Aragón;<=60;Índice;2016;101,23
Total Nacional;02 Aragón;<=60;Índice;2015;100
Total Nacional;02 Aragón;<=60;Índice;2014;100,713
Total Nacional;02 Aragón;<=60;Índice;2013;102,384
Total Nacional;02 Aragón;<=60;Índice;2012;106,845
Total Nacional;02 Aragón;<=60;Índice;2011;109,862
Total Nacional;02 Aragón;<=60;Variación anual;2023;2,6
Total Nacional;02 Aragón;<=60;Variación anual;2022;2,8
Total Nacional;02 Aragón;<=60;Variación anual;2021;2,2
Total Nacional;02 Aragón;<=60;Variación anual;2020;1,2
Total Nacional;02 Aragón;<=60;Variación anual;2019;3,9
Total Nacional;02 Aragón;<=60;Variación anual;2018;2,2
Total Nacional;02 Aragón;<=60;Variación anual;2017;1,6
Total Nacional;02 Aragón;<=60;Variación anual;2016;1,2
Total Nacional;02 Aragón;<=60;Variación anual;2015;-0,7
Total Nacional;02 Aragón;<=60;Variación anual;2014;-1,6
Total Nacional;02 Aragón;<=60;Variación anual;2013;-4,2
Total Nacional;02 Aragón;<=60;Variación anual;2012;-2,7
Total Nacional;02 Aragón;<=60;Variación anual;2011;..
Total Nacional;02 Aragón;(60-75];Índice;2023;116,812
Total Nacional;02 Aragón;(60-75];Índice;2022;114,005
Total Nacional;02 Aragón;(60-75];Índice;2021;111,078
Total Nacional;02 Aragón;(60-75];Índice;2020;108,765
Total Nacional;02 Aragón;(60-75];Índice;2019;107,493
Total Nacional;02 Aragón;(60-75];Índice;2018;104,133
Total Nacional;02 Aragón;(60-75];Índice;2017;102,199
Total Nacional;02 Aragón;(60-75];Índice;2016;100,929
Total Nacional;02 Aragón;(60-75];Índice;2015;100
Total Nacional;02 Aragón;(60-75];Índice;2014;100,521
Total Nacional;02 Aragón;(60-75];Índice;2013;102,309
Total Nacional;02 Aragón;(60-75];Índice;2012;106,149
Total Nacional;02 Aragón;(60-75];Índice;2011;108,563
Total Nacional;02 Aragón;(60-75];Variación anual;2023;2,5
Total Nacional;02 Aragón;(60-75];Variación anual;2022;2,6
Total Nacional;02 Aragón;(60-75];Variación anual;2021;2,1
Total Nacional;02 Aragón;(60-75];Variación anual;2020;1,2
Total Nacional;02 Aragón;(60-75];Variación anual;2019;3,2
Total Nacional;02 Aragón;(60-75];Variación anual;2018;1,9
Total Nacional;02 Aragón;(60-75];Variación anual;2017;1,3
Total Nacional;02 Aragón;(60-75];Variación anual;2016;0,9
Total Nacional;02 Aragón;(60-75];Variación anual;2015;-0,5
Total Nacional;02 Aragón;(60-75];Variación anual;2014;-1,7
Total Nacional;02 Aragón;(60-75];Variación anual;2013;-3,6
Total Nacional;02 Aragón;(60-75];Variación anual;2012;-2,2
Total Nacional;02 Aragón;(60-75];Variación anual;2011;..
Total Nacional;02 Aragón;(75-90];Índice;2023;116,201
Total Nacional;02 Aragón;(75-90];Índice;2022;113,599
Total Nacional;02 Aragón;(75-90];Índice;2021;110,759
Total Nacional;02 Aragón;(75-90];Índice;2020;108,52
Total Nacional;02 Aragón;(75-90];Índice;2019;107,376
Total Nacional;02 Aragón;(75-90];Índice;2018;104,114
Total Nacional;02 Aragón;(75-90];Índice;2017;102,05
Total Nacional;02 Aragón;(75-90];Índice;2016;100,918
Total Nacional;02 Aragón;(75-90];Índice;2015;100
Total Nacional;02 Aragón;(75-90];Índice;2014;100,332
Total Nacional;02 Aragón;(75-90];Índice;2013;101,94
Total Nacional;02 Aragón;(75-90];Índice;2012;105,525
Total Nacional;02 Aragón;(75-90];Índice;2011;108,087
Total Nacional;02 Aragón;(75-90];Variación anual;2023;2,3
Total Nacional;02 Aragón;(75-90];Variación anual;2022;2,6
Total Nacional;02 Aragón;(75-90];Variación anual;2021;2,1
Total Nacional;02 Aragón;(75-90];Variación anual;2020;1,1
Total Nacional;02 Aragón;(75-90];Variación anual;2019;3,1
Total Nacional;02 Aragón;(75-90];Variación anual;2018;2
Total Nacional;02 Aragón;(75-90];Variación anual;2017;1,1
Total Nacional;02 Aragón;(75-90];Variación anual;2016;0,9
Total Nacional;02 Aragón;(75-90];Variación anual;2015;-0,3
Total Nacional;02 Aragón;(75-90];Variación anual;2014;-1,6
Total Nacional;02 Aragón;(75-90];Variación anual;2013;-3,4
Total Nacional;02 Aragón;(75-90];Variación anual;2012;-2,4
Total Nacional;02 Aragón;(75-90];Variación anual;2011;..
Total Nacional;02 Aragón;(90-120];Índice;2023;115,008
Total Nacional;02 Aragón;(90-120];Índice;2022;112,623
Total Nacional;02 Aragón;(90-120];Índice;2021;110,051
Total Nacional;02 Aragón;(90-120];Índice;2020;107,991
Total Nacional;02 Aragón;(90-120];Índice;2019;106,919
Total Nacional;02 Aragón;(90-120];Índice;2018;104,132
Total Nacional;02 Aragón;(90-120];Índice;2017;102,149
Total Nacional;02 Aragón;(90-120];Índice;2016;101,221
Total Nacional;02 Aragón;(90-120];Índice;2015;100
Total Nacional;02 Aragón;(90-120];Índice;2014;100,536
Total Nacional;02 Aragón;(90-120];Índice;2013;101,709
Total Nacional;02 Aragón;(90-120];Índice;2012;104,577
Total Nacional;02 Aragón;(90-120];Índice;2011;106,484
Total Nacional;02 Aragón;(90-120];Variación anual;2023;2,1
Total Nacional;02 Aragón;(90-120];Variación anual;2022;2,3
Total Nacional;02 Aragón;(90-120];Variación anual;2021;1,9
Total Nacional;02 Aragón;(90-120];Variación anual;2020;1
Total Nacional;02 Aragón;(90-120];Variación anual;2019;2,7
Total Nacional;02 Aragón;(90-120];Variación anual;2018;1,9
Total Nacional;02 Aragón;(90-120];Variación anual;2017;0,9
Total Nacional;02 Aragón;(90-120];Variación anual;2016;1,2
Total Nacional;02 Aragón;(90-120];Variación anual;2015;-0,5
