Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Periodo;Total
Total Nacional;Andalucía;;2 personas;2037;1.230.812
Total Nacional;Andalucía;;2 personas;2036;1.213.395
Total Nacional;Andalucía;;2 personas;2035;1.195.611
Total Nacional;Andalucía;;2 personas;2034;1.177.277
Total Nacional;Andalucía;;2 personas;2033;1.158.740
Total Nacional;Andalucía;;2 personas;2032;1.139.172
Total Nacional;Andalucía;;2 personas;2031;1.118.817
Total Nacional;Andalucía;;2 personas;2030;1.097.358
Total Nacional;Andalucía;;2 personas;2029;1.074.874
Total Nacional;Andalucía;;2 personas;2028;1.051.016
Total Nacional;Andalucía;;2 personas;2027;1.025.786
Total Nacional;Andalucía;;2 personas;2026;999.903
Total Nacional;Andalucía;;2 personas;2025;973.526
Total Nacional;Andalucía;;2 personas;2024;946.351
Total Nacional;Andalucía;;3 personas;2039;715.490
Total Nacional;Andalucía;;3 personas;2038;716.738
Total Nacional;Andalucía;;3 personas;2037;717.875
Total Nacional;Andalucía;;3 personas;2036;718.773
Total Nacional;Andalucía;;3 personas;2035;719.462
Total Nacional;Andalucía;;3 personas;2034;719.850
Total Nacional;Andalucía;;3 personas;2033;719.962
Total Nacional;Andalucía;;3 personas;2032;719.626
Total Nacional;Andalucía;;3 personas;2031;718.628
Total Nacional;Andalucía;;3 personas;2030;716.845
Total Nacional;Andalucía;;3 personas;2029;714.348
Total Nacional;Andalucía;;3 personas;2028;710.975
Total Nacional;Andalucía;;3 personas;2027;706.655
Total Nacional;Andalucía;;3 personas;2026;701.234
Total Nacional;Andalucía;;3 personas;2025;695.282
Total Nacional;Andalucía;;3 personas;2024;689.011
Total Nacional;Andalucía;;4 personas o más;2039;719.730
Total Nacional;Andalucía;;4 personas o más;2038;727.739
Total Nacional;Andalucía;;4 personas o más;2037;736.256
Total Nacional;Andalucía;;4 personas o más;2036;745.253
Total Nacional;Andalucía;;4 personas o más;2035;754.381
Total Nacional;Andalucía;;4 personas o más;2034;763.613
Total Nacional;Andalucía;;4 personas o más;2033;772.628
Total Nacional;Andalucía;;4 personas o más;2032;781.782
Total Nacional;Andalucía;;4 personas o más;2031;790.634
Total Nacional;Andalucía;;4 personas o más;2030;799.057
Total Nacional;Andalucía;;4 personas o más;2029;806.961
Total Nacional;Andalucía;;4 personas o más;2028;814.393
Total Nacional;Andalucía;;4 personas o más;2027;820.803
Total Nacional;Andalucía;;4 personas o más;2026;826.019
Total Nacional;Andalucía;;4 personas o más;2025;830.360
Total Nacional;Andalucía;;4 personas o más;2024;834.516
Total Nacional;Andalucía;;Tamaño medio;2039;2,3
Total Nacional;Andalucía;;Tamaño medio;2038;2,31
Total Nacional;Andalucía;;Tamaño medio;2037;2,33
Total Nacional;Andalucía;;Tamaño medio;2036;2,34
Total Nacional;Andalucía;;Tamaño medio;2035;2,35
Total Nacional;Andalucía;;Tamaño medio;2034;2,37
Total Nacional;Andalucía;;Tamaño medio;2033;2,38
Total Nacional;Andalucía;;Tamaño medio;2032;2,4
Total Nacional;Andalucía;;Tamaño medio;2031;2,42
Total Nacional;Andalucía;;Tamaño medio;2030;2,43
Total Nacional;Andalucía;;Tamaño medio;2029;2,45
Total Nacional;Andalucía;;Tamaño medio;2028;2,47
Total Nacional;Andalucía;;Tamaño medio;2027;2,49
Total Nacional;Andalucía;;Tamaño medio;2026;2,51
Total Nacional;Andalucía;;Tamaño medio;2025;2,52
Total Nacional;Andalucía;;Tamaño medio;2024;2,54
Total Nacional;Andalucía;Málaga;Total;2039;910.811
Total Nacional;Andalucía;Málaga;Total;2038;901.533
Total Nacional;Andalucía;Málaga;Total;2037;891.947
Total Nacional;Andalucía;Málaga;Total;2036;882.094
Total Nacional;Andalucía;Málaga;Total;2035;871.931
Total Nacional;Andalucía;Málaga;Total;2034;861.388
Total Nacional;Andalucía;Málaga;Total;2033;850.328
Total Nacional;Andalucía;Málaga;Total;2032;838.417
Total Nacional;Andalucía;Málaga;Total;2031;825.684
Total Nacional;Andalucía;Málaga;Total;2030;811.873
Total Nacional;Andalucía;Málaga;Total;2029;796.629
Total Nacional;Andalucía;Málaga;Total;2028;779.738
Total Nacional;Andalucía;Málaga;Total;2027;761.251
Total Nacional;Andalucía;Málaga;Total;2026;741.414
Total Nacional;Andalucía;Málaga;Total;2025;720.380
Total Nacional;Andalucía;Málaga;Total;2024;698.969
Total Nacional;Andalucía;Málaga;1 persona;2039;294.550
Total Nacional;Andalucía;Málaga;1 persona;2038;289.278
Total Nacional;Andalucía;Málaga;1 persona;2037;283.841
