Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Periodo;Total
Total Nacional;Cantabria;;4 personas o más;2031;46.964
Total Nacional;Cantabria;;4 personas o más;2030;47.461
Total Nacional;Cantabria;;4 personas o más;2029;47.912
Total Nacional;Cantabria;;4 personas o más;2028;48.324
Total Nacional;Cantabria;;4 personas o más;2027;48.666
Total Nacional;Cantabria;;4 personas o más;2026;48.955
Total Nacional;Cantabria;;4 personas o más;2025;49.202
Total Nacional;Cantabria;;4 personas o más;2024;49.408
Total Nacional;Cantabria;;Tamaño medio;2039;2,19
Total Nacional;Cantabria;;Tamaño medio;2038;2,2
Total Nacional;Cantabria;;Tamaño medio;2037;2,22
Total Nacional;Cantabria;;Tamaño medio;2036;2,23
Total Nacional;Cantabria;;Tamaño medio;2035;2,24
Total Nacional;Cantabria;;Tamaño medio;2034;2,25
Total Nacional;Cantabria;;Tamaño medio;2033;2,27
Total Nacional;Cantabria;;Tamaño medio;2032;2,28
Total Nacional;Cantabria;;Tamaño medio;2031;2,29
Total Nacional;Cantabria;;Tamaño medio;2030;2,31
Total Nacional;Cantabria;;Tamaño medio;2029;2,32
Total Nacional;Cantabria;;Tamaño medio;2028;2,34
Total Nacional;Cantabria;;Tamaño medio;2027;2,35
Total Nacional;Cantabria;;Tamaño medio;2026;2,36
Total Nacional;Cantabria;;Tamaño medio;2025;2,38
Total Nacional;Cantabria;;Tamaño medio;2024;2,39
Total Nacional;Cantabria;Cantabria;Total;2039;275.097
Total Nacional;Cantabria;Cantabria;Total;2038;273.858
Total Nacional;Cantabria;Cantabria;Total;2037;272.512
Total Nacional;Cantabria;Cantabria;Total;2036;271.086
Total Nacional;Cantabria;Cantabria;Total;2035;269.631
Total Nacional;Cantabria;Cantabria;Total;2034;268.119
Total Nacional;Cantabria;Cantabria;Total;2033;266.506
Total Nacional;Cantabria;Cantabria;Total;2032;264.756
Total Nacional;Cantabria;Cantabria;Total;2031;262.903
Total Nacional;Cantabria;Cantabria;Total;2030;260.853
Total Nacional;Cantabria;Cantabria;Total;2029;258.651
Total Nacional;Cantabria;Cantabria;Total;2028;256.227
Total Nacional;Cantabria;Cantabria;Total;2027;253.659
Total Nacional;Cantabria;Cantabria;Total;2026;250.916
Total Nacional;Cantabria;Cantabria;Total;2025;248.056
Total Nacional;Cantabria;Cantabria;Total;2024;245.182
Total Nacional;Cantabria;Cantabria;1 persona;2039;99.829
Total Nacional;Cantabria;Cantabria;1 persona;2038;98.471
Total Nacional;Cantabria;Cantabria;1 persona;2037;97.022
Total Nacional;Cantabria;Cantabria;1 persona;2036;95.540
Total Nacional;Cantabria;Cantabria;1 persona;2035;94.050
Total Nacional;Cantabria;Cantabria;1 persona;2034;92.535
Total Nacional;Cantabria;Cantabria;1 persona;2033;90.963
Total Nacional;Cantabria;Cantabria;1 persona;2032;89.329
Total Nacional;Cantabria;Cantabria;1 persona;2031;87.685
Total Nacional;Cantabria;Cantabria;1 persona;2030;85.969
Total Nacional;Cantabria;Cantabria;1 persona;2029;84.218
Total Nacional;Cantabria;Cantabria;1 persona;2028;82.392
Total Nacional;Cantabria;Cantabria;1 persona;2027;80.587
Total Nacional;Cantabria;Cantabria;1 persona;2026;78.755
Total Nacional;Cantabria;Cantabria;1 persona;2025;76.907
Total Nacional;Cantabria;Cantabria;1 persona;2024;75.107
Total Nacional;Cantabria;Cantabria;2 personas;2039;88.609
Total Nacional;Cantabria;Cantabria;2 personas;2038;87.750
Total Nacional;Cantabria;Cantabria;2 personas;2037;86.842
Total Nacional;Cantabria;Cantabria;2 personas;2036;85.855
Total Nacional;Cantabria;Cantabria;2 personas;2035;84.861
Total Nacional;Cantabria;Cantabria;2 personas;2034;83.867
Total Nacional;Cantabria;Cantabria;2 personas;2033;82.842
Total Nacional;Cantabria;Cantabria;2 personas;2032;81.763
Total Nacional;Cantabria;Cantabria;2 personas;2031;80.663
Total Nacional;Cantabria;Cantabria;2 personas;2030;79.483
Total Nacional;Cantabria;Cantabria;2 personas;2029;78.282
Total Nacional;Cantabria;Cantabria;2 personas;2028;77.022
Total Nacional;Cantabria;Cantabria;2 personas;2027;75.719
Total Nacional;Cantabria;Cantabria;2 personas;2026;74.371
Total Nacional;Cantabria;Cantabria;2 personas;2025;73.006
Total Nacional;Cantabria;Cantabria;2 personas;2024;71.649
Total Nacional;Cantabria;Cantabria;3 personas;2039;43.938
Total Nacional;Cantabria;Cantabria;3 personas;2038;44.425
Total Nacional;Cantabria;Cantabria;3 personas;2037;44.915
Total Nacional;Cantabria;Cantabria;3 personas;2036;45.407
Total Nacional;Cantabria;Cantabria;3 personas;2035;45.886
Total Nacional;Cantabria;Cantabria;3 personas;2034;46.345
Total Nacional;Cantabria;Cantabria;3 personas;2033;46.788
Total Nacional;Cantabria;Cantabria;3 personas;2032;47.211
Total Nacional;Cantabria;Cantabria;3 personas;2031;47.591
Total Nacional;Cantabria;Cantabria;3 personas;2030;47.940
Total Nacional;Cantabria;Cantabria;3 personas;2029;48.239
Total Nacional;Cantabria;Cantabria;3 personas;2028;48.489
Total Nacional;Cantabria;Cantabria;3 personas;2027;48.687
Total Nacional;Cantabria;Cantabria;3 personas;2026;48.835
Total Nacional;Cantabria;Cantabria;3 personas;2025;48.941
Total Nacional;Cantabria;Cantabria;3 personas;2024;49.018
Total Nacional;Cantabria;Cantabria;4 personas o más;2039;42.721
Total Nacional;Cantabria;Cantabria;4 personas o más;2038;43.212
Total Nacional;Cantabria;Cantabria;4 personas o más;2037;43.733
Total Nacional;Cantabria;Cantabria;4 personas o más;2036;44.284
Total Nacional;Cantabria;Cantabria;4 personas o más;2035;44.834
Total Nacional;Cantabria;Cantabria;4 personas o más;2034;45.372
Total Nacional;Cantabria;Cantabria;4 personas o más;2033;45.913
Total Nacional;Cantabria;Cantabria;4 personas o más;2032;46.453
Total Nacional;Cantabria;Cantabria;4 personas o más;2031;46.964
Total Nacional;Cantabria;Cantabria;4 personas o más;2030;47.461
Total Nacional;Cantabria;Cantabria;4 personas o más;2029;47.912
Total Nacional;Cantabria;Cantabria;4 personas o más;2028;48.324
Total Nacional;Cantabria;Cantabria;4 personas o más;2027;48.666
Total Nacional;Cantabria;Cantabria;4 personas o más;2026;48.955
Total Nacional;Cantabria;Cantabria;4 personas o más;2025;49.202
Total Nacional;Cantabria;Cantabria;4 personas o más;2024;49.408
Total Nacional;Cantabria;Cantabria;Tamaño medio;2039;2,19
Total Nacional;Cantabria;Cantabria;Tamaño medio;2038;2,2
Total Nacional;Cantabria;Cantabria;Tamaño medio;2037;2,22
Total Nacional;Cantabria;Cantabria;Tamaño medio;2036;2,23
Total Nacional;Cantabria;Cantabria;Tamaño medio;2035;2,24
Total Nacional;Cantabria;Cantabria;Tamaño medio;2034;2,25
Total Nacional;Cantabria;Cantabria;Tamaño medio;2033;2,27
Total Nacional;Cantabria;Cantabria;Tamaño medio;2032;2,28
Total Nacional;Cantabria;Cantabria;Tamaño medio;2031;2,29
Total Nacional;Cantabria;Cantabria;Tamaño medio;2030;2,31
Total Nacional;Cantabria;Cantabria;Tamaño medio;2029;2,32
Total Nacional;Cantabria;Cantabria;Tamaño medio;2028;2,34
Total Nacional;Cantabria;Cantabria;Tamaño medio;2027;2,35
Total Nacional;Cantabria;Cantabria;Tamaño medio;2026;2,36
Total Nacional;Cantabria;Cantabria;Tamaño medio;2025;2,38
Total Nacional;Cantabria;Cantabria;Tamaño medio;2024;2,39
Total Nacional;Castilla - La Mancha;;Total;2039;998.372
Total Nacional;Castilla - La Mancha;;Total;2038;990.158
Total Nacional;Castilla - La Mancha;;Total;2037;981.691
Total Nacional;Castilla - La Mancha;;Total;2036;972.941
Total Nacional;Castilla - La Mancha;;Total;2035;964.072
Total Nacional;Castilla - La Mancha;;Total;2034;955.017
Total Nacional;Castilla - La Mancha;;Total;2033;945.635
Total Nacional;Castilla - La Mancha;;Total;2032;935.674
Total Nacional;Castilla - La Mancha;;Total;2031;925.361
Total Nacional;Castilla - La Mancha;;Total;2030;914.307
Total Nacional;Castilla - La Mancha;;Total;2029;902.411
Total Nacional;Castilla - La Mancha;;Total;2028;889.488
Total Nacional;Castilla - La Mancha;;Total;2027;876.029
Total Nacional;Castilla - La Mancha;;Total;2026;862.049
Total Nacional;Castilla - La Mancha;;Total;2025;847.554
Total Nacional;Castilla - La Mancha;;Total;2024;832.720
Total Nacional;Castilla - La Mancha;;1 persona;2039;344.056
Total Nacional;Castilla - La Mancha;;1 persona;2038;337.836
Total Nacional;Castilla - La Mancha;;1 persona;2037;331.479
Total Nacional;Castilla - La Mancha;;1 persona;2036;325.064
Total Nacional;Castilla - La Mancha;;1 persona;2035;318.659
Total Nacional;Castilla - La Mancha;;1 persona;2034;312.239
Total Nacional;Castilla - La Mancha;;1 persona;2033;305.687
Total Nacional;Castilla - La Mancha;;1 persona;2032;298.829
Total Nacional;Castilla - La Mancha;;1 persona;2031;292.040
Total Nacional;Castilla - La Mancha;;1 persona;2030;284.981
Total Nacional;Castilla - La Mancha;;1 persona;2029;277.617
Total Nacional;Castilla - La Mancha;;1 persona;2028;269.796
Total Nacional;Castilla - La Mancha;;1 persona;2027;262.156
Total Nacional;Castilla - La Mancha;;1 persona;2026;254.619
Total Nacional;Castilla - La Mancha;;1 persona;2025;246.940
Total Nacional;Castilla - La Mancha;;1 persona;2024;239.151
Total Nacional;Castilla - La Mancha;;2 personas;2039;304.723
Total Nacional;Castilla - La Mancha;;2 personas;2038;300.770
Total Nacional;Castilla - La Mancha;;2 personas;2037;296.659
Total Nacional;Castilla - La Mancha;;2 personas;2036;292.234
Total Nacional;Castilla - La Mancha;;2 personas;2035;287.742
Total Nacional;Castilla - La Mancha;;2 personas;2034;283.154
Total Nacional;Castilla - La Mancha;;2 personas;2033;278.475
Total Nacional;Castilla - La Mancha;;2 personas;2032;273.627
Total Nacional;Castilla - La Mancha;;2 personas;2031;268.627
Total Nacional;Castilla - La Mancha;;2 personas;2030;263.384
Total Nacional;Castilla - La Mancha;;2 personas;2029;257.929
Total Nacional;Castilla - La Mancha;;2 personas;2028;252.229
Total Nacional;Castilla - La Mancha;;2 personas;2027;246.362
Total Nacional;Castilla - La Mancha;;2 personas;2026;240.398
Total Nacional;Castilla - La Mancha;;2 personas;2025;234.367
Total Nacional;Castilla - La Mancha;;2 personas;2024;228.166
Total Nacional;Castilla - La Mancha;;3 personas;2039;168.721
Total Nacional;Castilla - La Mancha;;3 personas;2038;169.215
Total Nacional;Castilla - La Mancha;;3 personas;2037;169.654
Total Nacional;Castilla - La Mancha;;3 personas;2036;170.039
Total Nacional;Castilla - La Mancha;;3 personas;2035;170.351
Total Nacional;Castilla - La Mancha;;3 personas;2034;170.585
Total Nacional;Castilla - La Mancha;;3 personas;2033;170.735
Total Nacional;Castilla - La Mancha;;3 personas;2032;170.775
Total Nacional;Castilla - La Mancha;;3 personas;2031;170.638
Total Nacional;Castilla - La Mancha;;3 personas;2030;170.349
Total Nacional;Castilla - La Mancha;;3 personas;2029;169.875
Total Nacional;Castilla - La Mancha;;3 personas;2028;169.205
Total Nacional;Castilla - La Mancha;;3 personas;2027;168.287
Total Nacional;Castilla - La Mancha;;3 personas;2026;167.117
Total Nacional;Castilla - La Mancha;;3 personas;2025;165.824
Total Nacional;Castilla - La Mancha;;3 personas;2024;164.462
Total Nacional;Castilla - La Mancha;;4 personas o más;2039;180.872
Total Nacional;Castilla - La Mancha;;4 personas o más;2038;182.337
Total Nacional;Castilla - La Mancha;;4 personas o más;2037;183.899
Total Nacional;Castilla - La Mancha;;4 personas o más;2036;185.604
Total Nacional;Castilla - La Mancha;;4 personas o más;2035;187.320
Total Nacional;Castilla - La Mancha;;4 personas o más;2034;189.039
Total Nacional;Castilla - La Mancha;;4 personas o más;2033;190.738
Total Nacional;Castilla - La Mancha;;4 personas o más;2032;192.443
Total Nacional;Castilla - La Mancha;;4 personas o más;2031;194.056
Total Nacional;Castilla - La Mancha;;4 personas o más;2030;195.593
Total Nacional;Castilla - La Mancha;;4 personas o más;2029;196.990
Total Nacional;Castilla - La Mancha;;4 personas o más;2028;198.258
Total Nacional;Castilla - La Mancha;;4 personas o más;2027;199.224
Total Nacional;Castilla - La Mancha;;4 personas o más;2026;199.915
Total Nacional;Castilla - La Mancha;;4 personas o más;2025;200.423
Total Nacional;Castilla - La Mancha;;4 personas o más;2024;200.941
Total Nacional;Castilla - La Mancha;;Tamaño medio;2039;2,31
Total Nacional;Castilla - La Mancha;;Tamaño medio;2038;2,32
Total Nacional;Castilla - La Mancha;;Tamaño medio;2037;2,33
Total Nacional;Castilla - La Mancha;;Tamaño medio;2036;2,34
Total Nacional;Castilla - La Mancha;;Tamaño medio;2035;2,36
Total Nacional;Castilla - La Mancha;;Tamaño medio;2034;2,37
Total Nacional;Castilla - La Mancha;;Tamaño medio;2033;2,38
Total Nacional;Castilla - La Mancha;;Tamaño medio;2032;2,4
Total Nacional;Castilla - La Mancha;;Tamaño medio;2031;2,41
Total Nacional;Castilla - La Mancha;;Tamaño medio;2030;2,42
Total Nacional;Castilla - La Mancha;;Tamaño medio;2029;2,44
Total Nacional;Castilla - La Mancha;;Tamaño medio;2028;2,45
Total Nacional;Castilla - La Mancha;;Tamaño medio;2027;2,47
Total Nacional;Castilla - La Mancha;;Tamaño medio;2026;2,48
Total Nacional;Castilla - La Mancha;;Tamaño medio;2025;2,49
Total Nacional;Castilla - La Mancha;;Tamaño medio;2024;2,51
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2039;141.386
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2038;139.822
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2037;138.209
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2036;136.529
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2035;134.814
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2034;133.065
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2033;131.262
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2032;129.375
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2031;127.405
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2030;125.315
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2029;123.121
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2028;120.765
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2027;118.322
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2026;115.766
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2025;113.167
Total Nacional;Castilla - La Mancha;Guadalajara;Total;2024;110.533
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2039;48.789
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2038;47.811
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2037;46.817
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2036;45.786
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2035;44.758
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2034;43.735
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2033;42.704
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2032;41.645
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2031;40.585
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2030;39.479
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2029;38.370
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2028;37.213
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2027;36.074
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2026;34.921
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2025;33.786
Total Nacional;Castilla - La Mancha;Guadalajara;1 persona;2024;32.663
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2039;40.560
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2038;40.032
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2037;39.467
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2036;38.869
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2035;38.247
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2034;37.607
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2033;36.951
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2032;36.266
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2031;35.549
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2030;34.802
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2029;34.028
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2028;33.195
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2027;32.345
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2026;31.467
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2025;30.586
Total Nacional;Castilla - La Mancha;Guadalajara;2 personas;2024;29.685
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2039;23.722
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2038;23.722
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2037;23.713
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2036;23.695
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2035;23.663
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2034;23.615
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2033;23.549
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2032;23.461
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2031;23.344
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2030;23.200
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2029;23.018
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2028;22.802
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2027;22.548
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2026;22.258
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2025;21.943
Total Nacional;Castilla - La Mancha;Guadalajara;3 personas;2024;21.610
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2039;28.315
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2038;28.257
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2037;28.212
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2036;28.179
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2035;28.146
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2034;28.108
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2033;28.058
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2032;28.003
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2031;27.927
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2030;27.834
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2029;27.705
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2028;27.555
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2027;27.355
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2026;27.120
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2025;26.852
Total Nacional;Castilla - La Mancha;Guadalajara;4 personas o más;2024;26.575
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2039;2,39
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2038;2,39
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2037;2,4
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2036;2,41
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2035;2,42
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2034;2,43
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2033;2,44
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2032;2,45
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2031;2,46
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2030;2,47
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2029;2,48
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2028;2,48
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2027;2,49
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2026;2,5
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2025;2,51
Total Nacional;Castilla - La Mancha;Guadalajara;Tamaño medio;2024;2,51
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2039;221.013
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2038;220.061
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2037;219.039
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2036;217.983
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2035;216.907
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2034;215.810
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2033;214.605
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2032;213.273
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2031;211.920
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2030;210.412
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2029;208.725
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2028;206.828
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2027;204.863
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2026;202.850
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2025;200.690
Total Nacional;Castilla - La Mancha;Ciudad Real;Total;2024;198.476
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2039;79.891
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2038;78.632
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2037;77.324
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2036;76.023
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2035;74.740
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2034;73.453
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2033;72.081
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2032;70.624
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2031;69.215
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2030;67.726
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2029;66.138
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2028;64.415
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2027;62.755
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2026;61.166
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2025;59.460
Total Nacional;Castilla - La Mancha;Ciudad Real;1 persona;2024;57.735
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2039;69.153
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2038;68.547
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2037;67.894
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2036;67.164
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2035;66.392
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2034;65.603
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2033;64.775
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2032;63.895
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2031;62.991
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2030;62.022
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2029;61.000
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2028;59.934
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2027;58.809
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2026;57.657
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2025;56.489
Total Nacional;Castilla - La Mancha;Ciudad Real;2 personas;2024;55.269
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2039;36.846
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2038;37.098
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2037;37.342
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2036;37.581
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2035;37.807
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2034;38.029
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2033;38.241
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2032;38.440
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2031;38.606
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2030;38.751
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2029;38.872
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2028;38.963
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2027;39.018
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2026;39.020
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2025;39.016
Total Nacional;Castilla - La Mancha;Ciudad Real;3 personas;2024;39.008
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2039;35.123
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2038;35.784
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2037;36.479
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2036;37.215
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2035;37.968
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2034;38.725
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2033;39.508
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2032;40.314
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2031;41.108
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2030;41.913
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2029;42.715
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2028;43.516
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2027;44.281
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2026;45.007
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2025;45.725
Total Nacional;Castilla - La Mancha;Ciudad Real;4 personas o más;2024;46.464
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2039;2,21
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2038;2,22
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2037;2,23
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2036;2,25
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2035;2,27
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2034;2,28
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2033;2,3
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2032;2,32
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2031;2,33
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2030;2,35
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2029;2,37
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2028;2,39
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2027;2,41
Total Nacional;Castilla - La Mancha;Ciudad Real;Tamaño medio;2026;2,43
