País de nacimiento;Nacionalidad;Periodo;Total
UE27_2020 sin España;Total;2020S2;39.349
UE27_2020 sin España;Total;2020S1;29.869
UE27_2020 sin España;Total;2019S2;""
UE27_2020 sin España;Total;2019S1;""
UE27_2020 sin España;Total;2018S2;""
UE27_2020 sin España;Total;2018S1;""
UE27_2020 sin España;Total;2017S2;""
UE27_2020 sin España;Total;2017S1;""
UE27_2020 sin España;Total;2016S2;""
UE27_2020 sin España;Total;2016S1;""
UE27_2020 sin España;Total;2015S2;""
UE27_2020 sin España;Total;2015S1;""
UE27_2020 sin España;Total;2014S2;""
UE27_2020 sin España;Total;2014S1;""
UE27_2020 sin España;Total;2013S2;""
UE27_2020 sin España;Total;2013S1;""
UE27_2020 sin España;Total;2012S2;""
UE27_2020 sin España;Total;2012S1;""
UE27_2020 sin España;Total;2011S2;""
UE27_2020 sin España;Total;2011S1;""
UE27_2020 sin España;Total;2010S2;""
UE27_2020 sin España;Total;2010S1;""
UE27_2020 sin España;Total;2009S2;""
UE27_2020 sin España;Total;2009S1;""
UE27_2020 sin España;Total;2008S2;""
UE27_2020 sin España;Total;2008S1;""
UE27_2020 sin España;Española;2022S1;1.565
UE27_2020 sin España;Española;2021S2;1.945
UE27_2020 sin España;Española;2021S1;1.166
UE27_2020 sin España;Española;2020S2;1.445
UE27_2020 sin España;Española;2020S1;938
UE27_2020 sin España;Española;2019S2;""
UE27_2020 sin España;Española;2019S1;""
UE27_2020 sin España;Española;2018S2;""
UE27_2020 sin España;Española;2018S1;""
UE27_2020 sin España;Española;2017S2;""
UE27_2020 sin España;Española;2017S1;""
UE27_2020 sin España;Española;2016S2;""
UE27_2020 sin España;Española;2016S1;""
UE27_2020 sin España;Española;2015S2;""
UE27_2020 sin España;Española;2015S1;""
UE27_2020 sin España;Española;2014S2;""
UE27_2020 sin España;Española;2014S1;""
UE27_2020 sin España;Española;2013S2;""
UE27_2020 sin España;Española;2013S1;""
UE27_2020 sin España;Española;2012S2;""
UE27_2020 sin España;Española;2012S1;""
UE27_2020 sin España;Española;2011S2;""
UE27_2020 sin España;Española;2011S1;""
UE27_2020 sin España;Española;2010S2;""
UE27_2020 sin España;Española;2010S1;""
UE27_2020 sin España;Española;2009S2;""
UE27_2020 sin España;Española;2009S1;""
UE27_2020 sin España;Española;2008S2;""
UE27_2020 sin España;Española;2008S1;""
UE27_2020 sin España;Extranjero;2022S1;45.512
UE27_2020 sin España;Extranjero;2021S2;45.691
UE27_2020 sin España;Extranjero;2021S1;38.179
UE27_2020 sin España;Extranjero;2020S2;37.904
UE27_2020 sin España;Extranjero;2020S1;28.931
UE27_2020 sin España;Extranjero;2019S2;""
UE27_2020 sin España;Extranjero;2019S1;""
UE27_2020 sin España;Extranjero;2018S2;""
UE27_2020 sin España;Extranjero;2018S1;""
UE27_2020 sin España;Extranjero;2017S2;""
UE27_2020 sin España;Extranjero;2017S1;""
