Comunidades;Edad (grupos quinquenales);Sexo;Periodo;Total
Total Nacional;Todas las edades;Total;1 de enero de 2022;47.475.420
Total Nacional;Todas las edades;Total;1 de enero de 2021;47.385.107
Total Nacional;Todas las edades;Total;1 de enero de 2020;47.450.795
Total Nacional;Todas las edades;Total;1 de enero de 2019;47.026.208
Total Nacional;Todas las edades;Total;1 de enero de 2018;46.722.980
Total Nacional;Todas las edades;Total;1 de enero de 2017;46.572.132
Total Nacional;Todas las edades;Total;1 de enero de 2016;46.557.008
Total Nacional;Todas las edades;Total;1 de enero de 2015;46.624.382
Total Nacional;Todas las edades;Total;1 de enero de 2014;46.771.341
Total Nacional;Todas las edades;Total;1 de enero de 2013;47.129.783
Total Nacional;Todas las edades;Total;1 de enero de 2012;47.265.321
Total Nacional;Todas las edades;Total;1 de enero de 2011;47.190.493
Total Nacional;Todas las edades;Total;1 de enero de 2010;47.021.031
Total Nacional;Todas las edades;Total;1 de enero de 2009;46.745.807
Total Nacional;Todas las edades;Total;1 de enero de 2008;46.157.822
Total Nacional;Todas las edades;Total;1 de enero de 2007;45.200.737
Total Nacional;Todas las edades;Total;1 de enero de 2006;44.708.964
Total Nacional;Todas las edades;Total;1 de enero de 2005;44.108.530
Total Nacional;Todas las edades;Total;1 de enero de 2004;43.197.684
Total Nacional;Todas las edades;Total;1 de enero de 2003;42.717.064
Total Nacional;Todas las edades;Total;1 de enero de 2002;""
Total Nacional;Todas las edades;Total;1 de enero de 2001;""
Total Nacional;Todas las edades;Total;1 de enero de 2000;""
Total Nacional;Todas las edades;Total;1 de enero de 1999;""
Total Nacional;Todas las edades;Total;1 de enero de 1998;""
Total Nacional;Todas las edades;Hombres;1 de enero de 2022;23.265.381
Total Nacional;Todas las edades;Hombres;1 de enero de 2021;23.222.953
Total Nacional;Todas las edades;Hombres;1 de enero de 2020;23.255.590
Total Nacional;Todas las edades;Hombres;1 de enero de 2019;23.042.428
Total Nacional;Todas las edades;Hombres;1 de enero de 2018;22.896.602
Total Nacional;Todas las edades;Hombres;1 de enero de 2017;22.832.861
Total Nacional;Todas las edades;Hombres;1 de enero de 2016;22.843.610
Total Nacional;Todas las edades;Hombres;1 de enero de 2015;22.890.383
Total Nacional;Todas las edades;Hombres;1 de enero de 2014;22.985.676
Total Nacional;Todas las edades;Hombres;1 de enero de 2013;23.196.386
Total Nacional;Todas las edades;Hombres;1 de enero de 2012;23.298.356
Total Nacional;Todas las edades;Hombres;1 de enero de 2011;23.283.187
Total Nacional;Todas las edades;Hombres;1 de enero de 2010;23.226.185
Total Nacional;Todas las edades;Hombres;1 de enero de 2009;23.116.988
Total Nacional;Todas las edades;Hombres;1 de enero de 2008;22.847.737
Total Nacional;Todas las edades;Hombres;1 de enero de 2007;22.339.962
Total Nacional;Todas las edades;Hombres;1 de enero de 2006;22.100.466
Total Nacional;Todas las edades;Hombres;1 de enero de 2005;21.780.869
Total Nacional;Todas las edades;Hombres;1 de enero de 2004;21.285.247
Total Nacional;Todas las edades;Hombres;1 de enero de 2003;21.034.326
Total Nacional;Todas las edades;Hombres;1 de enero de 2002;""
Total Nacional;Todas las edades;Hombres;1 de enero de 2001;""
Total Nacional;Todas las edades;Hombres;1 de enero de 2000;""
Total Nacional;Todas las edades;Hombres;1 de enero de 1999;""
Total Nacional;Todas las edades;Hombres;1 de enero de 1998;""
Total Nacional;Todas las edades;Mujeres;1 de enero de 2022;24.210.039
Total Nacional;Todas las edades;Mujeres;1 de enero de 2021;24.162.154
Total Nacional;Todas las edades;Mujeres;1 de enero de 2020;24.195.205
Total Nacional;Todas las edades;Mujeres;1 de enero de 2019;23.983.780
Total Nacional;Todas las edades;Mujeres;1 de enero de 2018;23.826.378
Total Nacional;Todas las edades;Mujeres;1 de enero de 2017;23.739.271
Total Nacional;Todas las edades;Mujeres;1 de enero de 2016;23.713.398
Total Nacional;Todas las edades;Mujeres;1 de enero de 2015;23.733.999
Total Nacional;Todas las edades;Mujeres;1 de enero de 2014;23.785.665
Total Nacional;Todas las edades;Mujeres;1 de enero de 2013;23.933.397
Total Nacional;Todas las edades;Mujeres;1 de enero de 2012;23.966.965
Total Nacional;Todas las edades;Mujeres;1 de enero de 2011;23.907.306
Total Nacional;Todas las edades;Mujeres;1 de enero de 2010;23.794.846
Total Nacional;Todas las edades;Mujeres;1 de enero de 2009;23.628.819
Total Nacional;Todas las edades;Mujeres;1 de enero de 2008;23.310.085
Total Nacional;Todas las edades;Mujeres;1 de enero de 2007;22.860.775
Total Nacional;Todas las edades;Mujeres;1 de enero de 2006;22.608.498
Total Nacional;Todas las edades;Mujeres;1 de enero de 2005;22.327.661
Total Nacional;Todas las edades;Mujeres;1 de enero de 2004;21.912.437
Total Nacional;Todas las edades;Mujeres;1 de enero de 2003;21.682.738
Total Nacional;Todas las edades;Mujeres;1 de enero de 2002;""
Total Nacional;Todas las edades;Mujeres;1 de enero de 2001;""
Total Nacional;Todas las edades;Mujeres;1 de enero de 2000;""
Total Nacional;Todas las edades;Mujeres;1 de enero de 1999;""
Total Nacional;Todas las edades;Mujeres;1 de enero de 1998;""
Total Nacional;De 0 a 4 años;Total;1 de enero de 2022;1.809.768
Total Nacional;De 0 a 4 años;Total;1 de enero de 2021;1.887.689
Total Nacional;De 0 a 4 años;Total;1 de enero de 2020;1.981.692
Total Nacional;De 0 a 4 años;Total;1 de enero de 2019;2.038.663
Total Nacional;De 0 a 4 años;Total;1 de enero de 2018;2.079.174
Total Nacional;De 0 a 4 años;Total;1 de enero de 2017;2.126.890
Total Nacional;De 0 a 4 años;Total;1 de enero de 2016;2.174.491
Total Nacional;De 0 a 4 años;Total;1 de enero de 2015;2.230.847
Total Nacional;De 0 a 4 años;Total;1 de enero de 2014;2.302.053
Total Nacional;De 0 a 4 años;Total;1 de enero de 2013;2.395.732
Total Nacional;De 0 a 4 años;Total;1 de enero de 2012;2.443.703
Total Nacional;De 0 a 4 años;Total;1 de enero de 2011;2.470.560
Total Nacional;De 0 a 4 años;Total;1 de enero de 2010;2.463.563
Total Nacional;De 0 a 4 años;Total;1 de enero de 2009;2.424.045
Total Nacional;De 0 a 4 años;Total;1 de enero de 2008;2.339.646
Total Nacional;De 0 a 4 años;Total;1 de enero de 2007;2.237.527
Total Nacional;De 0 a 4 años;Total;1 de enero de 2006;2.174.969
Total Nacional;De 0 a 4 años;Total;1 de enero de 2005;2.094.582
Total Nacional;De 0 a 4 años;Total;1 de enero de 2004;1.974.428
Total Nacional;De 0 a 4 años;Total;1 de enero de 2003;1.901.859
Total Nacional;De 0 a 4 años;Total;1 de enero de 2002;""
Total Nacional;De 0 a 4 años;Total;1 de enero de 2001;""
Total Nacional;De 0 a 4 años;Total;1 de enero de 2000;""
Total Nacional;De 0 a 4 años;Total;1 de enero de 1999;""
Total Nacional;De 0 a 4 años;Total;1 de enero de 1998;""
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2022;929.686
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2021;969.383
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2020;1.018.039
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2019;1.048.153
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2018;1.068.953
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2017;1.093.761
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2016;1.118.620
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2015;1.147.833
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2014;1.184.674
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2013;1.233.651
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2012;1.259.518
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2011;1.273.539
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2010;1.269.480
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2009;1.249.291
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2008;1.205.808
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2007;1.152.780
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2006;1.119.920
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2005;1.079.294
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2004;1.017.055
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2003;979.748
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2002;""
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2001;""
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 2000;""
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 1999;""
Total Nacional;De 0 a 4 años;Hombres;1 de enero de 1998;""
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2022;880.082
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2021;918.306
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2020;963.653
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2019;990.510
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2018;1.010.221
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2017;1.033.129
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2016;1.055.871
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2015;1.083.014
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2014;1.117.379
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2013;1.162.081
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2012;1.184.185
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2011;1.197.021
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2010;1.194.083
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2009;1.174.754
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2008;1.133.838
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2007;1.084.747
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2006;1.055.049
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2005;1.015.288
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2004;957.373
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2003;922.111
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2002;""
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2001;""
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 2000;""
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 1999;""
Total Nacional;De 0 a 4 años;Mujeres;1 de enero de 1998;""
Total Nacional;De 5 a 9 años;Total;1 de enero de 2022;2.236.911
Total Nacional;De 5 a 9 años;Total;1 de enero de 2021;2.275.778
Total Nacional;De 5 a 9 años;Total;1 de enero de 2020;2.325.443
Total Nacional;De 5 a 9 años;Total;1 de enero de 2019;2.355.494
Total Nacional;De 5 a 9 años;Total;1 de enero de 2018;2.421.550
Total Nacional;De 5 a 9 años;Total;1 de enero de 2017;2.452.597
Total Nacional;De 5 a 9 años;Total;1 de enero de 2016;2.477.473
Total Nacional;De 5 a 9 años;Total;1 de enero de 2015;2.482.175
Total Nacional;De 5 a 9 años;Total;1 de enero de 2014;2.476.203
Total Nacional;De 5 a 9 años;Total;1 de enero de 2013;2.444.955
Total Nacional;De 5 a 9 años;Total;1 de enero de 2012;2.404.312
Total Nacional;De 5 a 9 años;Total;1 de enero de 2011;2.356.355
Total Nacional;De 5 a 9 años;Total;1 de enero de 2010;2.314.437
Total Nacional;De 5 a 9 años;Total;1 de enero de 2009;2.255.617
Total Nacional;De 5 a 9 años;Total;1 de enero de 2008;2.180.874
Total Nacional;De 5 a 9 años;Total;1 de enero de 2007;2.114.658
Total Nacional;De 5 a 9 años;Total;1 de enero de 2006;2.060.028
Total Nacional;De 5 a 9 años;Total;1 de enero de 2005;2.013.087
Total Nacional;De 5 a 9 años;Total;1 de enero de 2004;1.975.123
Total Nacional;De 5 a 9 años;Total;1 de enero de 2003;1.967.866
Total Nacional;De 5 a 9 años;Total;1 de enero de 2002;""
Total Nacional;De 5 a 9 años;Total;1 de enero de 2001;""
Total Nacional;De 5 a 9 años;Total;1 de enero de 2000;""
Total Nacional;De 5 a 9 años;Total;1 de enero de 1999;""
Total Nacional;De 5 a 9 años;Total;1 de enero de 1998;""
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2022;1.150.375
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2021;1.170.573
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2020;1.196.380
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2019;1.211.970
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2018;1.246.569
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2017;1.262.578
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2016;1.274.793
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2015;1.275.954
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2014;1.272.247
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2013;1.254.573
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2012;1.234.191
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2011;1.208.743
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2010;1.188.369
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2009;1.158.022
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2008;1.121.725
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2007;1.087.410
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2006;1.058.479
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2005;1.033.173
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2004;1.013.590
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2003;1.008.889
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2002;""
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2001;""
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 2000;""
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 1999;""
Total Nacional;De 5 a 9 años;Hombres;1 de enero de 1998;""
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2022;1.086.536
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2021;1.105.205
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2020;1.129.063
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2019;1.143.524
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2018;1.174.981
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2017;1.190.019
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2016;1.202.680
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2015;1.206.221
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2014;1.203.956
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2013;1.190.382
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2012;1.170.121
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2011;1.147.612
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2010;1.126.068
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2009;1.097.595
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2008;1.059.149
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2007;1.027.248
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2006;1.001.549
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2005;979.914
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2004;961.533
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2003;958.977
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2002;""
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2001;""
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 2000;""
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 1999;""
Total Nacional;De 5 a 9 años;Mujeres;1 de enero de 1998;""
Total Nacional;De 10 a 14 años;Total;1 de enero de 2022;2.517.373
Total Nacional;De 10 a 14 años;Total;1 de enero de 2021;2.526.140
Total Nacional;De 10 a 14 años;Total;1 de enero de 2020;2.523.498
Total Nacional;De 10 a 14 años;Total;1 de enero de 2019;2.491.371
Total Nacional;De 10 a 14 años;Total;1 de enero de 2018;2.434.173
Total Nacional;De 10 a 14 años;Total;1 de enero de 2017;2.384.213
Total Nacional;De 10 a 14 años;Total;1 de enero de 2016;2.338.899
Total Nacional;De 10 a 14 años;Total;1 de enero de 2015;2.306.902
Total Nacional;De 10 a 14 años;Total;1 de enero de 2014;2.268.715
Total Nacional;De 10 a 14 años;Total;1 de enero de 2013;2.234.950
Total Nacional;De 10 a 14 años;Total;1 de enero de 2012;2.214.708
Total Nacional;De 10 a 14 años;Total;1 de enero de 2011;2.187.263
Total Nacional;De 10 a 14 años;Total;1 de enero de 2010;2.158.340
Total Nacional;De 10 a 14 años;Total;1 de enero de 2009;2.138.218
Total Nacional;De 10 a 14 años;Total;1 de enero de 2008;2.135.369
Total Nacional;De 10 a 14 años;Total;1 de enero de 2007;2.128.647
Total Nacional;De 10 a 14 años;Total;1 de enero de 2006;2.140.398
Total Nacional;De 10 a 14 años;Total;1 de enero de 2005;2.157.484
Total Nacional;De 10 a 14 años;Total;1 de enero de 2004;2.169.159
Total Nacional;De 10 a 14 años;Total;1 de enero de 2003;2.173.754
Total Nacional;De 10 a 14 años;Total;1 de enero de 2002;""
Total Nacional;De 10 a 14 años;Total;1 de enero de 2001;""
Total Nacional;De 10 a 14 años;Total;1 de enero de 2000;""
Total Nacional;De 10 a 14 años;Total;1 de enero de 1999;""
Total Nacional;De 10 a 14 años;Total;1 de enero de 1998;""
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2022;1.296.012
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2021;1.299.821
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2020;1.297.635
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2019;1.280.031
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2018;1.248.919
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2017;1.222.729
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2016;1.198.494
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2015;1.183.541
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2014;1.163.212
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2013;1.147.748
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2012;1.137.976
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2011;1.124.459
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2010;1.108.827
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2009;1.098.729
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2008;1.096.328
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2007;1.092.802
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2006;1.100.398
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2005;1.108.850
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2004;1.114.544
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2003;1.116.646
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2002;""
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2001;""
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 2000;""
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 1999;""
Total Nacional;De 10 a 14 años;Hombres;1 de enero de 1998;""
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2022;1.221.361
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2021;1.226.319
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2020;1.225.863
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2019;1.211.340
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2018;1.185.254
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2017;1.161.484
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2016;1.140.405
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2015;1.123.361
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2014;1.105.503
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2013;1.087.202
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2012;1.076.732
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2011;1.062.804
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2010;1.049.513
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2009;1.039.489
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2008;1.039.041
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2007;1.035.845
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2006;1.040.000
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2005;1.048.634
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2004;1.054.615
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2003;1.057.108
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2002;""
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2001;""
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 2000;""
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 1999;""
Total Nacional;De 10 a 14 años;Mujeres;1 de enero de 1998;""
Total Nacional;De 15 a 19 años;Total;1 de enero de 2022;2.471.599
Total Nacional;De 15 a 19 años;Total;1 de enero de 2021;2.417.918
Total Nacional;De 15 a 19 años;Total;1 de enero de 2020;2.389.021
Total Nacional;De 15 a 19 años;Total;1 de enero de 2019;2.322.446
Total Nacional;De 15 a 19 años;Total;1 de enero de 2018;2.253.314
Total Nacional;De 15 a 19 años;Total;1 de enero de 2017;2.215.796
Total Nacional;De 15 a 19 años;Total;1 de enero de 2016;2.183.869
Total Nacional;De 15 a 19 años;Total;1 de enero de 2015;2.155.056
Total Nacional;De 15 a 19 años;Total;1 de enero de 2014;2.150.727
Total Nacional;De 15 a 19 años;Total;1 de enero de 2013;2.181.316
Total Nacional;De 15 a 19 años;Total;1 de enero de 2012;2.227.550
Total Nacional;De 15 a 19 años;Total;1 de enero de 2011;2.267.904
Total Nacional;De 15 a 19 años;Total;1 de enero de 2010;2.303.428
Total Nacional;De 15 a 19 años;Total;1 de enero de 2009;2.339.181
Total Nacional;De 15 a 19 años;Total;1 de enero de 2008;2.354.504
Total Nacional;De 15 a 19 años;Total;1 de enero de 2007;2.330.877
Total Nacional;De 15 a 19 años;Total;1 de enero de 2006;2.345.244
Total Nacional;De 15 a 19 años;Total;1 de enero de 2005;2.371.423
Total Nacional;De 15 a 19 años;Total;1 de enero de 2004;2.396.346
Total Nacional;De 15 a 19 años;Total;1 de enero de 2003;2.444.387
Total Nacional;De 15 a 19 años;Total;1 de enero de 2002;""
Total Nacional;De 15 a 19 años;Total;1 de enero de 2001;""
Total Nacional;De 15 a 19 años;Total;1 de enero de 2000;""
Total Nacional;De 15 a 19 años;Total;1 de enero de 1999;""
Total Nacional;De 15 a 19 años;Total;1 de enero de 1998;""
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2022;1.273.951
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2021;1.245.501
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2020;1.232.566
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2019;1.195.323
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2018;1.159.872
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2017;1.139.763
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2016;1.123.784
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2015;1.108.717
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2014;1.107.374
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2013;1.122.595
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2012;1.146.321
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2011;1.167.727
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2010;1.185.770
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2009;1.203.734
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2008;1.211.178
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2007;1.198.595
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2006;1.205.080
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2005;1.218.199
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2004;1.229.969
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2003;1.254.415
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2002;""
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2001;""
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 2000;""
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 1999;""
Total Nacional;De 15 a 19 años;Hombres;1 de enero de 1998;""
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2022;1.197.648
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2021;1.172.417
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2020;1.156.455
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2019;1.127.123
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2018;1.093.442
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2017;1.076.033
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2016;1.060.085
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2015;1.046.339
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2014;1.043.353
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2013;1.058.721
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2012;1.081.229
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2011;1.100.177
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2010;1.117.658
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2009;1.135.447
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2008;1.143.326
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2007;1.132.282
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2006;1.140.164
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2005;1.153.224
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2004;1.166.377
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2003;1.189.972
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2002;""
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2001;""
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 2000;""
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 1999;""
Total Nacional;De 15 a 19 años;Mujeres;1 de enero de 1998;""
Total Nacional;De 20 a 24 años;Total;1 de enero de 2022;2.416.033
Total Nacional;De 20 a 24 años;Total;1 de enero de 2021;2.382.448
Total Nacional;De 20 a 24 años;Total;1 de enero de 2020;2.360.667
Total Nacional;De 20 a 24 años;Total;1 de enero de 2019;2.305.303
Total Nacional;De 20 a 24 años;Total;1 de enero de 2018;2.288.096
Total Nacional;De 20 a 24 años;Total;1 de enero de 2017;2.293.337
Total Nacional;De 20 a 24 años;Total;1 de enero de 2016;2.316.981
Total Nacional;De 20 a 24 años;Total;1 de enero de 2015;2.354.598
Total Nacional;De 20 a 24 años;Total;1 de enero de 2014;2.409.523
Total Nacional;De 20 a 24 años;Total;1 de enero de 2013;2.476.109
