freq,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,I15_A_AVG,LV	54.34 e	53.07 e	76.03 e	89.62 e	85.95 e	131.90 e	142.51 	175.99 	155.33 	94.95 	86.57 	91.78 	92.40 	98.51 	103.60 	100.00 	107.74 	113.94 	121.60 	128.26 	132.37 	143.04 	143.12 	137.76 	138.76 
A,I15_A_AVG,MT	44.18 e	47.23 e	52.30 e	60.28 e	68.29 e	71.52 	83.56 	99.83 	106.71 	99.99 	98.79 	95.13 	95.50 	94.04 	95.99 	100.00 	104.58 	109.33 	114.51 	119.18 	121.55 	126.29 	127.83 	127.72 	132.24 p
A,I15_A_AVG,NL	106.74 e	113.17 e	116.21 e	116.15 e	119.21 e	122.76 	124.46 	127.70 	127.57 	123.25 	119.21 	113.71 	105.08 	96.78 	96.70 	100.00 	104.62 	110.80 	118.66 	124.32 	131.68 	144.35 	152.06 	139.54 	147.26 
A,I15_A_AVG,PL	: 	: 	: 	: 	: 	68.62 e	92.32 e	134.18 e	127.82 e	120.77 e	113.51 	108.64 	101.73 	96.92 	98.14 	100.00 	102.65 	104.66 	109.94 	116.93 	124.82 	129.04 	126.46 	125.70 	139.79 
A,I15_A_AVG,PT	124.67 e	126.60 e	123.04 e	120.11 e	118.12 e	120.40 e	118.64 e	115.86 e	113.52 	114.70 	113.45 	106.02 	96.68 	94.03 	97.78 	100.00 	105.99 	113.95 	123.62 	134.72 	145.91 	156.43 	164.26 	169.56 	179.99 
A,I15_A_AVG,RO	: 	: 	49.22 e	72.13 e	90.78 e	121.57 e	150.05 e	216.93 e	228.70 e	159.24 	134.58 	113.49 	103.40 	101.62 	98.37 	100.00 	105.24 	108.72 	110.52 	108.51 	110.97 	110.71 	104.19 	98.74 	97.50 
A,I15_A_AVG,SE	43.00 e	45.45 e	47.55 e	49.68 e	54.10 e	58.94 	65.68 	72.94 	71.67 	72.45 	77.21 	78.11 	78.71 	82.30 	89.30 	100.00 	107.28 	112.45 	108.65 	109.09 	112.75 	121.45 	117.83 	104.63 	101.90 
A,I15_A_AVG,SI	86.25 e	85.51 e	81.92 e	84.17 e	89.65 e	101.46 e	115.86 e	136.10 	137.93 	125.18 	122.79 	123.40 	112.64 	105.27 	98.39 	100.00 	103.73 	110.61 	117.88 	124.05 	130.28 	140.55 	147.12 	146.60 	154.47 
A,I15_A_AVG,SK	: 	: 	65.11 e	85.21 e	91.70 e	80.12 e	89.15 	112.11 	126.60 	110.41 	105.29 	99.89 	93.92 	93.47 	94.84 	100.00 	106.99 	112.05 	118.18 	126.06 	135.17 	139.33 	142.04 	128.82 	129.82 
A,RCH_A_AVG,AT	: 	-1.6 e	-0.4 e	-1.2 e	-3.5 e	11.5 e	1.9 e	1.5 e	-0.7 e	0.9 e	-0.4 e	2.2 	4.2 	2.9 	1.9 	4.2 	5.3 	3.1 	3.7 	4.2 	6.5 	9.3 	3.6 	-10.2 	-3.5 
